Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z,SessionTime_seconds,Time_seconds
2025-06-29 14:06:40.870,0 days 01:59:48.077000,,51.14138888888889,0 days 00:00:00,10967.51000576,274.25500288,7,100.0,False,0,interpolation,0.00879206039897107,2.0497584881486437e-06,OnTrack,1122.0014453384174,-1202.3799916635262,7215.248850168324,7188.077,0.0
2025-06-29 14:06:40.944,0 days 01:59:48.151000,,51.14138888888889,0 days 00:00:00.074000,10969.73000192,275.36500096,7,100.0,False,0,pos,5.690877497274121,0.001326756633339031,OnTrack,1068.0,-1217.0,7215.0,7188.151,0.074
2025-06-29 14:06:41.053,0 days 01:59:48.260000,,51.14138888888889,0 days 00:00:00.183000,10973.0,277.0,7,100.0,False,0,car,14.094999999999999,0.0032860722719600067,OnTrack,991.6320652856799,-1237.6499883440429,7214.327289069293,7188.26,0.183
2025-06-29 14:06:41.123,0 days 01:59:48.330000,,51.14138888888889,0 days 00:00:00.253000,11024.500094171428,277.7500013714286,7,100.0,False,0,pos,19.51386207136255,0.004549411924196989,OnTrack,942.0,-1251.0,7214.0,7188.33,0.253
2025-06-29 14:06:41.284,0 days 01:59:48.491000,,51.14138888888889,0 days 00:00:00.414000,11142.950047085715,279.4750006857143,7,100.0,False,0,pos,32.04185887622403,0.007470157076638202,OnTrack,822.0,-1283.0,7214.0,7188.491,0.414
2025-06-29 14:06:41.333,0 days 01:59:48.540000,87,51.14138888888889,0 days 00:00:00.463000,11179.0,280.0,7,100.0,False,0,car,35.87277777777778,0.008363287717186143,OnTrack,785.3100982911387,-1292.7451012291617,7214.011672505329,7188.54,0.463
2025-06-29 14:06:41.424,0 days 01:59:48.631000,87,46.00999639111111,0 days 00:00:00.554000,11200.84001536,281.36500096,7,100.0,False,0,pos,43.009755970132275,0.01002718457021767,OnTrack,717.0,-1311.0,7214.0,7188.631,0.554
2025-06-29 14:06:41.533,0 days 01:59:48.740000,87,39.86361111111111,0 days 00:00:00.663000,11227.0,283.0,7,100.0,False,0,car,51.595,0.012028726418714194,OnTrack,633.5543847921698,-1333.8738123853896,7213.996738995811,7188.74,0.663
2025-06-29 14:06:41.663,0 days 01:59:48.870000,87,32.424714897777775,0 days 00:00:00.793000,11272.5000448,284.2187512,7,100.0,False,0,pos,61.883466169843736,0.014427353123341513,OnTrack,535.0,-1361.0,7214.0,7188.87,0.793
2025-06-29 14:06:41.853,0 days 01:59:49.060000,87,21.552499999999995,0 days 00:00:00.983000,11339.0,286.0,7,100.0,False,0,car,77.01722222222222,0.017955598326202662,OnTrack,396.73494116469936,-1397.772600937969,7213.994562527679,7189.06,0.983
