Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z
2026-06-28 13:05:58.088,0 days 00:59:46.012000,,51.7522222222222,0 days 00:00:00,10590.4,302.81666666666666,8,100.0,False,0,interpolation,0.05324057570910963,1.2333737595002225e-05,OnTrack,-410.48357878637944,-1616.737671041437,7217.0775850177215
2026-06-28 13:05:58.132,0 days 00:59:46.056000,,51.7522222222222,0 days 00:00:00.044000,10597.0,303.0,8,100.0,False,0,car,3.7577777777777825,0.0008705286228434104,OnTrack,-441.63288092816305,-1625.3265306392368,7217.321283093451
2026-06-28 13:05:58.348,0 days 00:59:46.272000,,51.7522222222222,0 days 00:00:00.260000,10634.8,303.675,8,100.0,False,0,pos,21.960074594727843,0.005087281533127815,OnTrack,-625.0,-1675.0,7220.0
2026-06-28 13:05:58.452,0 days 00:59:46.376000,23,51.7522222222222,0 days 00:00:00.364000,10653.0,304.0,8,100.0,False,0,car,30.780000000000005,0.007130509730930848,OnTrack,-731.2986614456241,-1703.3582765660146,7222.167086936382
2026-06-28 13:05:58.628,0 days 00:59:46.552000,23,51.263333333333314,0 days 00:00:00.540000,10677.2,306.2,8,100.0,False,0,pos,45.83196893677745,0.010617456156316176,OnTrack,-903.0,-1749.0,7226.0
2026-06-28 13:05:58.772,0 days 00:59:46.696000,23,50.863333333333316,0 days 00:00:00.684000,10697.0,308.0,8,100.0,False,0,car,58.15777777777779,0.013472859011493123,OnTrack,-988.3536748460496,-1771.990748976364,7227.7470141926915
2026-06-28 13:05:59.008,0 days 00:59:46.932000,23,48.765555555555544,0 days 00:00:00.920000,10505.25,306.03333333333336,8,100.0,False,0,pos,78.21861469723869,0.018120162223475993,OnTrack,-1166.0,-1821.0,7234.0
2026-06-28 13:05:59.012,0 days 00:59:46.936000,23,48.72999999999999,0 days 00:00:00.924000,10502.0,306.0,8,100.0,False,0,car,78.55777777777779,0.018198732907236764,OnTrack,-1171.6303390293122,-1822.5507451017872,7234.2348014656345
2026-06-28 13:05:59.168,0 days 00:59:47.092000,23,46.69333333333332,0 days 00:00:01.080000,10562.171428571428,304.8857142857143,8,44.285714285714285,False,0,pos,91.76952641739805,0.021259373005918528,OnTrack,-1420.0,-1891.0,7245.0
2026-06-28 13:05:59.292,0 days 00:59:47.216000,23,45.074444444444424,0 days 00:00:01.204000,10610.0,304.0,8,0.0,False,0,car,102.20222222222222,0.023676216376813268,OnTrack,-1514.3231784854281,-1917.3913554544874,7249.486086739789
2026-06-28 13:05:59.468,0 days 00:59:47.392000,23,42.97222222222221,0 days 00:00:01.380000,10270.32,300.48,8,0.0,False,0,pos,116.8694816579246,0.027074040812562553,OnTrack,-1568.0,-1933.0,7253.0
2026-06-28 13:05:59.492,0 days 00:59:47.416000,23,42.68555555555554,0 days 00:00:01.404000,10224.0,300.0,8,0.0,True,0,car,118.86888888888888,0.02753722446157114,OnTrack,-1582.6619715208014,-1937.1201306740666,7253.860159605249
2026-06-28 13:05:59.668,0 days 00:59:47.592000,23,39.312222222222196,0 days 00:00:01.580000,11024.8,296.48,8,0.0,True,0,pos,133.4154006757597,0.030907076438419185,OnTrack,-1726.0,-1977.0,7262.0
2026-06-28 13:05:59.692,0 days 00:59:47.616000,23,38.852222222222196,0 days 00:00:01.604000,11134.0,296.0,8,0.0,True,0,car,135.31333333333333,0.03134675243853225,OnTrack,-1744.67109004264,-1982.1801666484794,7263.061941135679
2026-06-28 13:05:59.932,0 days 00:59:47.856000,23,35.11888888888885,0 days 00:00:01.844000,10428.0,263.0,7,0.0,True,0,car,152.84666666666666,0.035408532943697536,OnTrack,-1907.2744803145179,-2027.1360130986668,7272.643262956595
2026-06-28 13:06:00.028,0 days 00:59:47.952000,23,33.758888888888855,0 days 00:00:01.940000,10411.885714285714,253.05714285714285,7,0.0,True,0,pos,159.33676830305788,0.036912033037037946,OnTrack,-1987.0,-2049.0,7278.0
2026-06-28 13:06:00.212,0 days 00:59:48.136000,23,31.152222222222207,0 days 00:00:02.124000,10381.0,234.0,6,0.0,True,0,car,171.04666666666668,0.03962475377225314,OnTrack,-2168.1245908186543,-2098.4807566701284,7291.0507477026185
2026-06-28 13:06:00.228,0 days 00:59:48.152000,23,30.97444444444443,0 days 00:00:02.140000,10372.818181818182,232.83636363636364,6,0.0,True,0,pos,172.01998520829935,0.03985023321775045,OnTrack,-2181.0,-2102.0,7292.0
2026-06-28 13:06:00.588,0 days 00:59:48.512000,23,26.974444444444433,0 days 00:00:02.500000,10188.727272727272,206.65454545454546,6,0.0,True,0,pos,192.29206678966764,0.04454647347058251,OnTrack,-2331.0,-2143.0,7304.0
2026-06-28 13:06:00.652,0 days 00:59:48.576000,23,26.26333333333332,0 days 00:00:02.564000,10156.0,202.0,5,0.0,True,0,car,195.73555555555555,0.045344193748474475,OnTrack,-2362.7143636443034,-2151.512785595812,7306.76558273327
2026-06-28 13:06:00.828,0 days 00:59:48.752000,23,24.258889533534123,0 days 00:00:02.740000,10997.969578462045,190.5025162604973,5,0.0,True,0,pos,205.0192648885811,0.0474948623559557,OnTrack,-2458.0,-2177.0,7315.0
2026-06-28 13:06:00.851,0 days 00:59:48.775000,23,23.996944444444438,0 days 00:00:02.763000,11108.0,189.0,5,0.0,True,0,car,206.18305555555554,0.047764466666404944,OnTrack,-2467.7601042844108,-2179.6184732961424,7315.806374164868
2026-06-28 13:06:01.069,0 days 00:59:48.993000,23,23.451944764444438,0 days 00:00:02.981000,10803.863593209757,180.2268344195122,5,0.3987802536585366,True,0,pos,216.48224036315182,0.050150380814917614,OnTrack,-2535.0,-2197.0,7321.0
2026-06-28 13:06:02.449,0 days 00:59:50.373000,23,20.001944764444442,0 days 00:00:04.361000,8878.59530052683,124.69024905365853,5,2.923170497560976,True,0,pos,260.89788249502647,0.060439730016570464,OnTrack,-3069.0,-2207.0,7370.0
2026-06-28 13:06:02.491,0 days 00:59:50.415000,23,19.896944444444443,0 days 00:00:04.403000,8820.0,123.0,3,3.0,False,0,car,262.21638888888884,0.06074517584736092,OnTrack,-3082.252378675162,-2201.8201591799375,7371.122698456862
2026-06-28 13:06:02.709,0 days 00:59:50.633000,23,19.836388924444424,0 days 00:00:04.621000,8731.71005184,119.18500224,3,12.80999424,False,0,pos,269.19920537778177,0.06236281850244069,OnTrack,-3146.0,-2169.0,7376.0
2026-06-28 13:06:02.891,0 days 00:59:50.815000,23,19.7858333333333,0 days 00:00:04.803000,8658.0,116.0,3,21.0,False,0,car,275.10527777777776,0.06373102209957368,OnTrack,-3195.121290340842,-2135.5639804720554,7378.4029804224465
2026-06-28 13:06:02.949,0 days 00:59:50.873000,23,19.898610862222185,0 days 00:00:04.861000,8716.966536533333,116.24166613333334,3,24.866658133333335,False,0,pos,276.98526529318315,0.06416654091934713,OnTrack,-3210.0,-2124.0,7379.0
2026-06-28 13:06:03.131,0 days 00:59:51.055000,23,20.25249999999994,0 days 00:00:05.043000,8902.0,117.0,3,37.0,False,0,car,282.90527777777777,0.06553797388324037,OnTrack,-3253.94521263008,-2085.096167903075,7380.78181280174
2026-06-28 13:06:03.149,0 days 00:59:51.073000,23,20.312499573333273,0 days 00:00:05.061000,8924.6225664,117.1636352,3,37.818176,False,0,pos,283.4963605804116,0.0656749044120242,OnTrack,-3258.0,-2081.0,7381.0
2026-06-28 13:06:03.348,0 days 00:59:51.272000,23,20.975833119999926,0 days 00:00:05.260000,9174.729465018181,118.97272669090908,3,46.86363345454546,False,0,pos,290.1069432047239,0.06720631518947,OnTrack,-3299.0,-2032.0,7384.0
2026-06-28 13:06:03.548,0 days 00:59:51.472000,23,21.642499786666583,0 days 00:00:05.460000,9426.093101381819,120.79090850909091,3,55.954542545454544,False,0,pos,296.90220080840976,0.06878050786222062,OnTrack,-3334.0,-1974.0,7387.0
2026-06-28 13:06:03.571,0 days 00:59:51.495000,23,21.71916666666658,0 days 00:00:05.483000,9455.0,121.0,3,57.0,False,0,car,297.69416666666666,0.06896397505711553,OnTrack,-3337.8422180202333,-1967.0448052148463,7387.313137821983
2026-06-28 13:06:03.771,0 days 00:59:51.695000,23,22.774722222222124,0 days 00:00:05.683000,9780.0,126.0,3,59.0,False,0,car,304.69416666666666,0.07058559845271384,OnTrack,-3371.051731660833,-1904.563411777244,7389.792776554772
2026-06-28 13:06:03.788,0 days 00:59:51.712000,23,22.85972190222212,0 days 00:00:05.700000,9765.7625536,126.531248,3,59.1062496,False,0,pos,305.30296155974975,0.07072663217296303,OnTrack,-3374.0,-1899.0,7390.0
2026-06-28 13:06:03.931,0 days 00:59:51.855000,23,23.57472222222208,0 days 00:00:05.843000,9646.0,131.0,3,60.0,False,0,car,310.5163888888889,0.07193437727698926,OnTrack,-3399.941106174047,-1850.3969852982843,7391.762877322
2026-06-28 13:06:04.028,0 days 00:59:51.952000,23,24.14055518222208,0 days 00:00:05.940000,9646.0,133.4249984,3,60.0,False,0,pos,314.1359335035086,0.07277288273820057,OnTrack,-3419.0,-1815.0,7393.0
2026-06-28 13:06:04.091,0 days 00:59:52.015000,23,24.508055555555416,0 days 00:00:06.003000,9646.0,135.0,3,60.0,False,0,car,316.5163888888889,0.0733243401875021,OnTrack,-3432.110074397164,-1790.7655507035586,7393.8283065560945
2026-06-28 13:06:04.252,0 days 00:59:52.176000,23,25.626111111111015,0 days 00:00:06.164000,10766.0,139.0,3,74.0,False,0,car,322.73277777777776,0.07476443185298204,OnTrack,-3468.230719086152,-1724.4595988793674,7396.0253537280205
2026-06-28 13:06:04.428,0 days 00:59:52.352000,23,26.554999999999893,0 days 00:00:06.340000,11225.36,147.8,3,79.28,False,0,pos,329.9905933025233,0.07644578091810546,OnTrack,-3512.0,-1650.0,7398.0
2026-06-28 13:06:04.452,0 days 00:59:52.376000,23,26.68166666666656,0 days 00:00:06.364000,11288.0,149.0,3,80.0,False,0,car,331.0105555555555,0.07668206586841178,OnTrack,-3518.3142621121337,-1639.915378372684,7398.210176489208
2026-06-28 13:06:04.732,0 days 00:59:52.656000,23,28.703888888888798,0 days 00:00:06.644000,10419.0,159.0,3,83.0,False,0,car,343.3772222222222,0.07954693386730212,OnTrack,-3593.8924773466138,-1528.0670295747786,7399.735867894815
2026-06-28 13:06:04.808,0 days 00:59:52.732000,23,29.252777777777677,0 days 00:00:06.720000,10495.814285714287,162.25714285714287,3,85.44285714285714,False,0,pos,346.8969482340958,0.08036231530258073,OnTrack,-3610.0,-1505.0,7400.0
2026-06-28 13:06:05.012,0 days 00:59:52.936000,23,30.72611111111098,0 days 00:00:06.924000,10702.0,171.0,4,92.0,False,0,car,356.6772222222222,0.08262801831893891,OnTrack,-3640.4801838561443,-1461.5388576651749,7400.577752140205
2026-06-28 13:06:05.108,0 days 00:59:53.032000,23,31.392777777777663,0 days 00:00:07.020000,10981.466666666667,174.2,4,94.13333333333334,False,0,pos,361.4281311489585,0.08372861618550356,OnTrack,-3658.0,-1436.0,7401.0
2026-06-28 13:06:05.268,0 days 00:59:53.192000,23,32.5038888888888,0 days 00:00:07.180000,11447.244444444445,179.53333333333333,4,97.68888888888888,False,0,pos,369.5545670315213,0.08561119026407404,OnTrack,-3702.0,-1371.0,7402.0
2026-06-28 13:06:05.372,0 days 00:59:53.296000,23,33.22611111111104,0 days 00:00:07.284000,11750.0,183.0,4,100.0,False,0,car,374.97722222222217,0.08686740519600306,OnTrack,-3745.3940805865527,-1307.0129100909205,7402.514885129725
2026-06-28 13:06:05.548,0 days 00:59:53.472000,23,34.3505555555555,0 days 00:00:07.460000,11143.9,190.15,4,100.0,False,0,pos,384.40695115704386,0.08905190077526837,OnTrack,-3828.0,-1185.0,7403.0
2026-06-28 13:06:05.692,0 days 00:59:53.616000,23,35.27055555555552,0 days 00:00:07.604000,10648.0,196.0,4,100.0,False,0,car,392.3994444444444,0.09090344564726995,OnTrack,-3877.879658845039,-1110.3582496498527,7403.01857682313
2026-06-28 13:06:06.048,0 days 00:59:53.972000,23,37.44611111111101,0 days 00:00:07.960000,11206.722222222223,210.83333333333334,4,100.0,False,0,pos,413.2589177255728,0.09573576134620361,OnTrack,-3960.0,-985.0,7402.0
2026-06-28 13:06:06.052,0 days 00:59:53.976000,23,37.47055555555545,0 days 00:00:07.964000,11213.0,211.0,5,100.0,False,0,car,413.4994444444444,0.09579148188257343,OnTrack,-3960.993379083815,-983.5018294244753,7401.985110324698
2026-06-28 13:06:06.412,0 days 00:59:54.336000,23,39.77055555555552,0 days 00:00:08.324000,12013.0,222.0,5,100.0,False,0,car,435.6994444444444,0.10093434465147091,OnTrack,-4062.8206003074242,-830.7928744859589,7400.34233080724
2026-06-28 13:06:06.468,0 days 00:59:54.392000,23,40.05055555555551,0 days 00:00:08.380000,11854.955555555556,224.33333333333334,5,100.0,False,0,pos,439.290850043455,0.10176633141467639,OnTrack,-4081.0,-803.0,7400.0
2026-06-28 13:06:06.608,0 days 00:59:54.532000,23,40.75055555555549,0 days 00:00:08.520000,11459.844444444445,230.16666666666666,5,100.0,False,0,pos,448.4500382445407,0.10388815339632904,OnTrack,-4129.0,-729.0,7399.0
2026-06-28 13:06:06.772,0 days 00:59:54.696000,23,41.57055555555547,0 days 00:00:08.684000,10997.0,237.0,5,100.0,False,0,car,459.3994444444444,0.10642469814799661,OnTrack,-4187.702054919443,-639.7359603261674,7397.470191972697
2026-06-28 13:06:06.828,0 days 00:59:54.752000,23,41.85055555555547,0 days 00:00:08.740000,11058.6,238.86666666666667,5,100.0,False,0,pos,463.1773010776667,0.10729987824823228,OnTrack,-4208.0,-609.0,7397.0
2026-06-28 13:06:07.008,0 days 00:59:54.932000,23,42.75055555555546,0 days 00:00:08.920000,11256.6,244.86666666666667,5,100.0,False,0,pos,475.4574373765989,0.11014470058015861,OnTrack,-4274.0,-509.0,7396.0
2026-06-28 13:06:07.012,0 days 00:59:54.936000,23,42.77055555555546,0 days 00:00:08.924000,11261.0,245.0,6,100.0,False,0,car,475.73277777777776,0.11020848607105935,OnTrack,-4275.500707886225,-506.72482891600094,7395.989258816376
2026-06-28 13:06:07.248,0 days 00:59:55.172000,23,43.8849999999999,0 days 00:00:09.160000,11484.216666666667,250.9,6,100.0,False,0,pos,492.1832399984021,0.11401940812896941,OnTrack,-4365.0,-371.0,7396.0
2026-06-28 13:06:07.252,0 days 00:59:55.176000,23,43.90388888888879,0 days 00:00:09.164000,11488.0,251.0,6,100.0,False,0,car,492.4661111111111,0.11408493818815625,OnTrack,-4366.453219131199,-368.7981026101183,7396.00004555097
2026-06-28 13:06:07.451,0 days 00:59:55.375000,23,44.73305555555544,0 days 00:00:09.363000,11706.0,258.0,6,100.0,False,0,car,506.72777777777776,0.11738880280628357,OnTrack,-4437.486527314939,-261.28377990584346,7395.863513316487
2026-06-28 13:06:07.529,0 days 00:59:55.453000,23,45.036388391110975,0 days 00:00:09.441000,11576.413849018181,259.9499968,6,100.0,False,0,pos,512.4268415042151,0.11870905067368305,OnTrack,-4474.0,-206.0,7396.0
