Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z,SessionTime_seconds,Time_seconds
2026-07-19 13:46:51.129,0 days 01:38:55.032000,,177.1702777777778,0 days 00:00:00,11137.027712,220.0305536,5,100.0,False,0,interpolation,0.00225445580420444,3.2342107055883373e-07,OnTrack,-424.5078922242344,1291.892845508819,4137.202366382685,5935.032,0.0
2026-07-19 13:46:51.201,0 days 01:38:55.104000,,177.1702777777778,0 days 00:00:00.072000,11211.027712,222.2305536,5,100.0,False,0,pos,4.576535393137297,0.0006565433545152983,OnTrack,-449.0,1329.0,4138.0,5935.104,0.072
2026-07-19 13:46:51.481,0 days 01:38:55.384000,,177.1702777777778,0 days 00:00:00.352000,11498.805489777778,230.78610915555555,5,100.0,False,0,pos,22.584231872466773,0.0032399022577068097,OnTrack,-546.0,1475.0,4141.0,5935.384,0.352
2026-07-19 13:46:51.488,0 days 01:38:55.391000,,177.1702777777778,0 days 00:00:00.359000,11506.0,231.0,5,100.0,False,0,car,23.03888888888889,0.003305126716183261,OnTrack,-548.4724707262781,1478.7043205488872,4141.058248979026,5935.391,0.359
2026-07-19 13:46:51.721,0 days 01:38:55.624000,,177.1702777777778,0 days 00:00:00.592000,11702.855936506316,234.87257580012425,5,100.0,False,0,pos,38.298497590388,0.005494248797593655,OnTrack,-632.0,1604.0,4143.0,5935.624,0.592
2026-07-19 13:46:51.849,0 days 01:38:55.752000,6,177.1702777777778,0 days 00:00:00.720000,11811.0,237.0,5,100.0,False,0,car,46.804722222222225,0.006714539863717517,OnTrack,-678.3846297529453,1674.7271547605494,4145.200354399052,5935.752,0.72
2026-07-19 13:46:51.901,0 days 01:38:55.804000,6,177.31472222222226,0 days 00:00:00.772000,11698.271428571428,238.11428571428573,5,100.0,False,0,pos,50.28799103750456,0.007214244726940758,OnTrack,-697.0,1703.0,4146.0,5935.804,0.772
2026-07-19 13:46:52.102,0 days 01:38:56.005000,6,177.87305608888892,0 days 00:00:00.973000,11262.531726628571,242.42143268571428,5,100.0,False,0,pos,63.87327739042172,0.00916317087040947,OnTrack,-771.0,1814.0,4148.0,5936.005,0.973
2026-07-19 13:46:52.129,0 days 01:38:56.032000,6,177.94805555555558,0 days 00:00:01,11204.0,243.0,5,100.0,False,0,car,65.70472222222223,0.009425907379621895,OnTrack,-782.6866691866264,1831.5613306782839,4148.356602651568,5936.032,1.0
2026-07-19 13:46:52.289,0 days 01:38:56.192000,6,178.30361111111114,0 days 00:00:01.160000,10498.0,245.0,5,100.0,False,0,car,76.59361111111112,0.010988012121295198,OnTrack,-859.7311017973869,1947.7777517890277,4151.117990103841,5936.192,1.16
2026-07-19 13:46:52.342,0 days 01:38:56.245000,6,178.27416656000003,0 days 00:00:01.213000,10518.2063232,245.6625024,5,100.0,False,0,pos,80.23025408515424,0.0115097198264149,OnTrack,-883.0,1983.0,4152.0,5936.245,1.213
2026-07-19 13:46:52.609,0 days 01:38:56.512000,6,178.12583333333333,0 days 00:00:01.480000,10620.0,249.0,6,100.0,False,0,car,98.72694444444446,0.01416322910641073,OnTrack,-969.2581290441234,2114.4265944869444,4155.388123294402,5936.512,1.48
2026-07-19 13:46:52.742,0 days 01:38:56.645000,6,176.79583141333333,0 days 00:00:01.613000,10678.900085028572,249.4750006857143,6,100.0,False,0,pos,107.94349511408012,0.015485422550555537,OnTrack,-1012.0,2179.0,4157.0,5936.645,1.613
2026-07-19 13:46:52.889,0 days 01:38:56.792000,6,175.32583333333332,0 days 00:00:01.760000,10744.0,250.0,6,100.0,False,0,car,118.1713888888889,0.01695270185939877,OnTrack,-1068.3011441105625,2263.15201143022,4159.00434490955,5936.792,1.76
2026-07-19 13:46:52.962,0 days 01:38:56.865000,6,173.0952797333333,0 days 00:00:01.833000,10788.546551854546,250.58068130909092,6,100.0,False,0,pos,123.28972897403659,0.017686971755812568,OnTrack,-1097.0,2306.0,4160.0,5936.865,1.833
2026-07-19 13:46:53.769,0 days 01:38:57.672000,6,148.43694444444444,0 days 00:00:02.640000,11281.0,257.0,6,100.0,False,0,car,180.99361111111114,0.02596508982819557,OnTrack,-1412.4058083477814,2781.986160052362,4170.754237490682,5937.672,2.64
2026-07-19 13:46:53.782,0 days 01:38:57.685000,6,147.96388190222223,0 days 00:00:02.653000,11247.58950656,257.0,6,100.0,False,0,pos,181.92231020137638,0.0260983196983223,OnTrack,-1419.0,2792.0,4171.0,5937.685,2.653
2026-07-19 13:46:53.969,0 days 01:38:57.872000,6,141.1591666666667,0 days 00:00:02.840000,10767.0,257.0,6,100.0,False,0,car,195.2713888888889,0.028013359821103933,OnTrack,-1519.1049661908,2944.099254166064,4174.795475697044,5937.872,2.84
2026-07-19 13:46:54.042,0 days 01:38:57.945000,6,138.5027801066667,0 days 00:00:02.913000,10786.1624832,257.0,6,100.0,False,0,pos,200.4967679648745,0.028762985381152278,OnTrack,-1552.0,2994.0,4176.0,5937.945,2.913
2026-07-19 13:46:54.129,0 days 01:38:58.032000,6,135.3369444444445,0 days 00:00:03,10809.0,257.0,6,100.0,False,0,car,206.69361111111112,0.029651975815430623,OnTrack,-1582.6801677379046,3040.407918422366,4177.047803938207,5938.032,3.0
2026-07-19 13:46:54.289,0 days 01:38:58.192000,6,128.98138888888892,0 days 00:00:03.160000,10583.0,252.0,6,100.0,False,0,car,217.89361111111114,0.031258712121151735,OnTrack,-1622.5349744760424,3100.280846387479,4178.235548716738,5938.192,3.16
2026-07-19 13:46:54.362,0 days 01:38:58.265000,6,126.10194773995268,0 days 00:00:03.233000,10555.815930693641,251.6945610190297,6,100.0,False,0,pos,222.98922011660287,0.031989721048730574,OnTrack,-1645.0,3134.0,4179.0,5938.265,3.233
2026-07-19 13:46:54.528,0 days 01:38:58.431000,6,119.55416666666676,0 days 00:00:03.399000,10494.0,251.0,6,100.0,False,0,car,234.55722222222224,0.03364925042085173,OnTrack,-1711.633664923338,3234.0799549248013,4181.524116627142,5938.431,3.399
2026-07-19 13:46:54.662,0 days 01:38:58.565000,6,113.82193896888897,0 days 00:00:03.533000,10432.8624416,249.3249984,6,100.0,False,0,pos,243.82855622290558,0.034979303004902124,OnTrack,-1768.0,3319.0,4184.0,5938.565,3.533
2026-07-19 13:46:54.848,0 days 01:38:58.751000,6,105.86527777777786,0 days 00:00:03.719000,10348.0,247.0,6,100.0,False,0,car,256.5127777777778,0.0367989636550828,OnTrack,-1834.0964429623061,3419.2702894503614,4187.659168751868,5938.751,3.719
2026-07-19 13:46:54.982,0 days 01:38:58.885000,6,100.54249491555562,0 days 00:00:03.853000,10248.616571733333,240.2999936,6,100.0,False,0,pos,265.4390635538367,0.038079516104335985,OnTrack,-1884.0,3495.0,4191.0,5938.885,3.853
2026-07-19 13:46:55.088,0 days 01:38:58.991000,6,96.3319444444445,0 days 00:00:03.959000,10170.0,235.0,6,100.0,True,0,car,272.17944444444447,0.03904648170177602,OnTrack,-1929.8729315701553,3564.3664860554245,4194.309495943158,5938.991,3.959
2026-07-19 13:46:55.262,0 days 01:38:59.165000,6,90.62860691555564,0 days 00:00:04.133000,10334.333454222222,220.01665564444446,6,51.666631111111116,True,0,pos,282.32577773932724,0.04050206045845772,OnTrack,-2005.0,3678.0,4200.0,5939.165,4.133
2026-07-19 13:46:55.448,0 days 01:38:59.351000,6,84.53194444444455,0 days 00:00:04.319000,10510.0,204.0,6,0.0,True,0,car,292.57944444444445,0.041973037115768046,OnTrack,-2060.481440247916,3762.8355029502586,4204.42098587683,5939.351,4.319
2026-07-19 13:46:55.642,0 days 01:38:59.545000,6,78.65805943111123,0 days 00:00:04.513000,10606.999936,195.27000576,6,0.0,True,0,pos,303.11430338613843,0.04348435321731004,OnTrack,-2105.0,3833.0,4208.0,5939.545,4.513
2026-07-19 13:46:55.648,0 days 01:38:59.551000,6,78.476388888889,0 days 00:00:04.519000,10610.0,195.0,6,0.0,True,0,car,303.4127777777778,0.04352717193528996,OnTrack,-2106.4112360637096,3835.2665822608037,4208.108610931395,5939.551,4.519
2026-07-19 13:46:55.802,0 days 01:38:59.705000,6,75.1825027377779,0 days 00:00:04.673000,11239.199477028571,174.10001737142858,6,0.0,True,0,pos,310.3091791648038,0.044516520014518536,OnTrack,-2143.0,3895.0,4211.0,5939.705,4.673
2026-07-19 13:46:55.928,0 days 01:38:59.831000,6,72.48750000000013,0 days 00:00:04.799000,11754.0,157.0,4,0.0,True,0,car,315.6238888888889,0.04527896082416645,OnTrack,-2172.207635062839,3944.484362188616,4213.9282213740025,5939.831,4.799
2026-07-19 13:46:55.982,0 days 01:38:59.885000,6,71.30249719111126,0 days 00:00:04.853000,11517.74944,157.0,4,0.0,True,0,pos,317.98989389351027,0.04561838458670601,OnTrack,-2184.0,3965.0,4215.0,5939.885,4.853
2026-07-19 13:46:56.088,0 days 01:38:59.991000,6,68.97638888888906,0 days 00:00:04.959000,11054.0,157.0,4,0.0,True,0,car,322.6016666666667,0.04627998304638158,OnTrack,-2205.411037959312,4003.264312504775,4216.407568297633,5939.991,4.959
2026-07-19 13:46:56.248,0 days 01:39:00.151000,6,66.30972222222238,0 days 00:00:05.119000,10372.0,140.0,3,0.0,True,0,car,328.8238888888889,0.04717261432733776,OnTrack,-2233.588128122722,4056.9374733330146,4217.625584810626,5940.151,5.119
2026-07-19 13:46:56.282,0 days 01:39:00.185000,6,65.89416823111127,0 days 00:00:05.153000,10500.632849066667,138.15834026666667,3,0.0,True,0,pos,330.0838286286788,0.0473533635168861,OnTrack,-2239.0,4068.0,4218.0,5940.185,5.153
