Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z,Time_seconds,SessionTime_seconds
2026-07-05 14:49:16.055,0 days 01:41:01.562000,,384.6186111111112,0 days 00:00:00,10682.2375216,261.1375024,6,100.0,False,0,interpolation,0.07152175929290074,1.2282373609080504e-05,OnTrack,-1702.2200335553784,1280.4095654337277,1963.964172268813,0.0,6061.562
2026-07-05 14:49:16.101,0 days 01:41:01.608000,,384.6186111111112,0 days 00:00:00.046000,10690.0,262.0,7,100.0,False,0,car,3.4427777777777777,0.0005912254303831575,OnTrack,-1681.5364481822307,1307.4334472477753,1964.1956640688002,0.046,6061.608
2026-07-05 14:49:16.261,0 days 01:41:01.768000,30,384.6186111111112,0 days 00:00:00.206000,10743.0,267.0,7,100.0,False,0,car,15.309444444444443,0.0026290784549086125,OnTrack,-1608.6090872165375,1401.4756680210357,1964.9091635985594,0.206,6061.768
2026-07-05 14:49:16.284,0 days 01:41:01.791000,30,383.58999713777786,0 days 00:00:00.229000,10762.046928,267.4312512,7,100.0,False,0,pos,17.030478444053546,0.002924630225252536,OnTrack,-1598.0,1415.0,1965.0,0.229,6061.791
2026-07-05 14:49:16.581,0 days 01:41:02.088000,30,370.3075000000001,0 days 00:00:00.526000,11008.0,273.0,7,100.0,False,0,car,39.57611111111111,0.006796373403938195,OnTrack,-1458.216408379926,1589.9683020112802,1965.9347692237964,0.526,6062.088
2026-07-05 14:49:16.784,0 days 01:41:02.291000,30,361.5108305600001,0 days 00:00:00.729000,11151.62254528,277.06000128,7,100.0,False,0,pos,55.33439044277147,0.009502529909332102,OnTrack,-1361.0,1715.0,1967.0,0.729,6062.291
2026-07-05 14:49:16.981,0 days 01:41:02.488000,30,352.97416666666675,0 days 00:00:00.926000,11291.0,281.0,7,100.0,False,0,car,70.79833333333333,0.012158140256856293,OnTrack,-1266.2556172962395,1843.3438271730683,1968.7579739729565,0.926,6062.488
2026-07-05 14:49:17.144,0 days 01:41:02.651000,30,346.09194395560047,0 days 00:00:01.089000,11393.386941945908,283.4572866067018,7,100.0,False,0,pos,83.65030157792816,0.014365198320762418,OnTrack,-1202.0,1932.0,1970.0,1.089,6062.651
2026-07-05 14:49:17.180,0 days 01:41:02.687000,30,344.57194444444457,0 days 00:00:01.125000,11416.0,284.0,7,100.0,False,0,car,86.49722222222222,0.014854097689770165,OnTrack,-1191.0269995250642,1947.086849919089,1970.1706318797594,1.125,6062.687
2026-07-05 14:49:17.340,0 days 01:41:02.847000,30,337.86083333333346,0 days 00:00:01.285000,11542.0,286.0,7,100.0,False,0,car,99.20833333333333,0.017036966472595182,OnTrack,-1153.0910095912693,1999.0307296474464,1970.5809995528211,1.285,6062.847
2026-07-05 14:49:17.424,0 days 01:41:02.931000,30,334.4541666666668,0 days 00:00:01.369000,11580.563636363637,287.3363636363636,7,100.0,False,0,pos,105.95596143186799,0.018195731163238874,OnTrack,-1127.0,2035.0,1971.0,1.369,6062.931
