Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z,Time_seconds,SessionTime_seconds
2026-07-05 15:06:22.623,0 days 01:58:08.130000,,810.4691666666666,0 days 00:00:00,10664.3375424,265.48125120000003,6,100.0,False,0,interpolation,0.04606268649039958,7.784348500688298e-06,OnTrack,-1764.6142142360252,1197.9846222929616,1962.8983615468987,0.0,7088.13
2026-07-05 15:06:22.665,0 days 01:58:08.172000,,810.4691666666666,0 days 00:00:00.042000,10692.1624576,266.2687488,6,100.0,False,0,pos,3.1662446792064634,0.0005350784745594373,OnTrack,-1746.0,1223.0,1963.0,0.042,7088.172
2026-07-05 15:06:22.704,0 days 01:58:08.211000,,810.4691666666666,0 days 00:00:00.081000,10718.0,267.0,7,100.0,False,0,car,6.073333333333337,0.0010263609621936859,OnTrack,-1728.5950072138019,1246.3088593419914,1963.1369610322909,0.081,7088.211
2026-07-05 15:06:22.865,0 days 01:58:08.372000,,810.4691666666666,0 days 00:00:00.242000,10865.31494144,270.21999872,7,100.0,False,0,pos,18.17377170047835,0.0030712705503608113,OnTrack,-1656.0,1342.0,1964.0,0.242,7088.372
2026-07-05 15:06:22.904,0 days 01:58:08.411000,44,810.4691666666666,0 days 00:00:00.281000,10901.0,271.0,7,100.0,False,0,car,21.12888888888889,0.003570669604294753,OnTrack,-1638.4536545820222,1364.4367823122489,1964.218952484331,0.281,7088.411
2026-07-05 15:06:23.045,0 days 01:58:08.552000,44,805.6125022044445,0 days 00:00:00.422000,11041.1186864,274.5249984,7,100.0,False,0,pos,31.891152883373962,0.005389434856011902,OnTrack,-1571.0,1449.0,1965.0,0.422,7088.552
2026-07-05 15:06:23.064,0 days 01:58:08.571000,44,804.9580555555556,0 days 00:00:00.441000,11060.0,275.0,7,100.0,False,0,car,33.35111111111111,0.005636160014856504,OnTrack,-1560.5194018960924,1462.1378643522373,1965.103564001875,0.441,7088.571
2026-07-05 15:06:23.304,0 days 01:58:08.811000,44,795.8913888888889,0 days 00:00:00.681000,11205.0,279.0,7,100.0,False,0,car,51.95111111111112,0.008779460876020481,OnTrack,-1404.982128673177,1658.1954891467549,1966.4331883021364,0.681,7088.811
2026-07-05 15:06:23.385,0 days 01:58:08.892000,44,792.6963914133333,0 days 00:00:00.762000,11256.83995904,279.80999936,7,100.0,False,0,pos,58.24915825372587,0.009843797274248023,OnTrack,-1360.0,1716.0,1967.0,0.762,7088.892
2026-07-05 15:06:23.504,0 days 01:58:09.011000,44,788.0025,0 days 00:00:00.881000,11333.0,281.0,7,100.0,False,0,car,67.56222222222223,0.011417655445874355,OnTrack,-1308.8699563043685,1783.4191638197738,1967.9920489475344,0.881,7089.011
2026-07-05 15:06:23.744,0 days 01:58:09.251000,44,777.2691666666667,0 days 00:00:01.121000,11534.0,288.0,7,100.0,False,0,car,86.76222222222223,0.014662353109011364,OnTrack,-1235.2331069706438,1886.2426440459815,1969.891164326898,1.121,7089.251
