Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z,SessionTime_seconds,Time_seconds
2026-05-23 20:38:37.796,0 days 00:50:20.742000,,690.7141666666669,0 days 00:00:00,11035.1158256,281.2531248,6,100.0,False,0,interpolation,0.025836552958929483,5.940765977943169e-06,OnTrack,3351.3500001803163,933.8609920611236,133.18413392282193,3020.742,0.0
2026-05-23 20:38:37.856,0 days 00:50:20.802000,,690.7141666666669,0 days 00:00:00.060000,10847.0533256,281.4406248,6,100.0,False,0,pos,4.726963367875151,0.0010869013060488067,OnTrack,3358.0,889.0,134.0,3020.802,0.06
2026-05-23 20:38:38.035,0 days 00:50:20.981000,,690.7141666666669,0 days 00:00:00.239000,10286.0,282.0,7,100.0,False,0,car,18.74416666666667,0.00430996765687959,OnTrack,3375.6321280295797,748.4305141245123,131.72707118922713,3020.981,0.239
2026-05-23 20:38:38.216,0 days 00:50:21.162000,,690.7141666666669,0 days 00:00:00.420000,10316.754880225451,282.0,7,100.0,False,0,pos,32.906443597322344,0.00756639172759837,OnTrack,3388.0,602.0,128.0,3021.162,0.42
2026-05-23 20:38:38.376,0 days 00:50:21.322000,,690.7141666666669,0 days 00:00:00.580000,10343.941524291846,282.0,7,100.0,False,0,pos,45.45086974249591,0.010450812887593718,OnTrack,3393.0,476.0,128.0,3021.322,0.58
2026-05-23 20:38:38.394,0 days 00:50:21.340000,30,690.7141666666669,0 days 00:00:00.598000,10347.0,282.0,7,100.0,False,0,car,46.86583333333333,0.010776164631452062,OnTrack,3393.3697010648443,462.6289210037257,128.02252835763562,3021.34,0.598
2026-05-23 20:38:38.536,0 days 00:50:21.482000,30,685.5074953066669,0 days 00:00:00.740000,10357.6500096,282.71000064,7,100.0,False,0,pos,58.05483289392238,0.01334892377708735,OnTrack,3395.0,359.0,128.0,3021.482,0.74
2026-05-23 20:38:38.735,0 days 00:50:21.681000,30,678.2108262933335,0 days 00:00:00.939000,10372.5750144,283.70500096,7,100.0,False,0,pos,73.77297260807337,0.016963097455705872,OnTrack,3392.0,193.0,128.0,3021.681,0.939
2026-05-23 20:38:38.794,0 days 00:50:21.740000,30,676.0475000000001,0 days 00:00:00.998000,10377.0,284.0,7,100.0,False,0,car,78.42138888888888,0.018031937921238833,OnTrack,3390.4407579862536,147.8915068405486,128.28539080004808,3021.74,0.998
2026-05-23 20:38:38.915,0 days 00:50:21.861000,30,671.8124932800001,0 days 00:00:01.119000,10384.26001152,283.39499904,7,100.0,False,0,pos,87.93542549218304,0.020219561984542063,OnTrack,3386.0,59.0,129.0,3021.861,1.119
2026-05-23 20:38:38.994,0 days 00:50:21.940000,30,669.0475000000001,0 days 00:00:01.198000,10389.0,283.0,7,100.0,False,0,car,94.1436111111111,0.02164705031738259,OnTrack,3381.5986415201096,-3.6792672055312483,129.11173201199264,3021.94,1.198
2026-05-23 20:38:39.155,0 days 00:50:22.101000,30,663.5913823822225,0 days 00:00:01.359000,10363.23996928,283.0,7,100.0,False,0,pos,106.80251696517065,0.024557794538383637,OnTrack,3370.0,-136.0,129.0,3022.101,1.359
2026-05-23 20:38:39.194,0 days 00:50:22.140000,30,662.2697222222225,0 days 00:00:01.398000,10357.0,283.0,7,100.0,False,0,car,109.86583333333331,0.02526216271352635,OnTrack,3367.0160449992945,-166.4937719118019,129.09206806488723,3022.14,1.398
