Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z,SessionTime_seconds,Time_seconds
2026-05-23 20:58:21.974,0 days 01:10:04.920000,,,0 days 00:00:00,11191.0000256,284.0714294857143,7,100.0,False,0,interpolation,0.23255050284619316,5.370991807046916e-05,OnTrack,3355.284576956801,905.5451391908276,131.5628279403021,4204.92,0.0
2026-05-23 20:58:22.039,0 days 01:10:04.985000,,,0 days 00:00:00.065000,11217.0,285.0,7,100.0,False,0,car,5.38472222222223,0.0012436566932692236,OnTrack,3362.279583249638,855.9119650418171,131.1684118722994,4204.985,0.065
2026-05-23 20:58:22.056,0 days 01:10:05.002000,,,0 days 00:00:00.082000,11217.531248,285.0531248,7,100.0,False,0,pos,6.732841688244696,0.0015550186777976388,OnTrack,3364.0,843.0,131.0,4205.002,0.082
2026-05-23 20:58:22.256,0 days 01:10:05.202000,,,0 days 00:00:00.282000,11223.781248,285.6781248,7,100.0,False,0,pos,22.613048497275642,0.005222714925348988,OnTrack,3381.0,685.0,128.0,4205.202,0.282
2026-05-23 20:58:22.359,0 days 01:10:05.305000,,,0 days 00:00:00.385000,11227.0,286.0,7,100.0,False,0,car,30.80694444444445,0.0071151790336354435,OnTrack,3387.715135254177,583.7557102770949,127.63145605771892,4205.305,0.385
2026-05-23 20:58:22.496,0 days 01:10:05.442000,,,0 days 00:00:00.522000,11264.2468576,286.4281248,7,100.0,False,0,pos,41.72279141092416,0.009636305580616823,OnTrack,3394.0,447.0,128.0,4205.442,0.522
2026-05-23 20:58:22.679,0 days 01:10:05.625000,,,0 days 00:00:00.705000,11314.0,287.0,7,100.0,False,0,car,56.31805555555556,0.013007231172394551,OnTrack,3396.3679054581507,313.23757091287285,127.92178476025508,4205.625,0.705
2026-05-23 20:58:22.896,0 days 01:10:05.842000,,,0 days 00:00:00.922000,11303.69250304,287.0,7,100.0,False,0,pos,73.6153449049304,0.017002217132113508,OnTrack,3392.0,176.0,128.0,4205.842,0.922
2026-05-23 20:58:23.079,0 days 01:10:06.025000,,,0 days 00:00:01.105000,11295.0,287.0,7,100.0,False,0,car,88.20694444444445,0.02037229634584344,OnTrack,3383.9633273624545,30.775849239172423,128.95822749039044,4206.025,1.105
2026-05-23 20:58:23.096,0 days 01:10:06.042000,,,0 days 00:00:01.122000,11294.27750272,287.04249984,7,100.0,False,0,pos,89.56316793647439,0.020685530038098022,OnTrack,3383.0,17.0,129.0,4206.042,1.122
2026-05-23 20:58:23.276,0 days 01:10:06.222000,,,0 days 00:00:01.302000,11286.62750272,287.49249984,7,100.0,False,0,pos,103.93079978360922,0.02400388162165346,OnTrack,3371.0,-125.0,129.0,4206.222,1.302
2026-05-23 20:58:23.436,0 days 01:10:06.382000,,,0 days 00:00:01.462000,11279.82750272,287.89249984,7,100.0,False,0,pos,116.74817714610653,0.02696418606990199,OnTrack,3358.0,-253.0,130.0,4206.382,1.462
2026-05-23 20:58:23.479,0 days 01:10:06.425000,,,0 days 00:00:01.505000,11278.0,288.0,7,100.0,False,0,car,120.20694444444445,0.027763023767283436,OnTrack,3352.486865326629,-302.1804015494495,130.25192129883234,4206.425,1.505
2026-05-23 20:58:23.656,0 days 01:10:06.602000,,,0 days 00:00:01.682000,11036.8375872,285.7875008,7,43.95002026666667,False,0,pos,134.41355130187722,0.031044184981872367,OnTrack,3325.0,-537.0,131.0,4206.602,1.682
2026-05-23 20:58:23.719,0 days 01:10:06.665000,,,0 days 00:00:01.745000,10951.0,285.0,7,24.0,True,0,car,139.20694444444447,0.03215126817376344,OnTrack,3318.0383521362273,-594.8729227734941,131.22418715556492,4206.665,1.745
2026-05-23 20:58:24.076,0 days 01:10:07.022000,,,0 days 00:00:02.102000,9960.3251776,242.16000768,7,3.4725036800000004,True,0,pos,162.86957748376616,0.037616395388363026,OnTrack,3301.0,-740.0,132.0,4207.022,2.102
2026-05-23 20:58:24.119,0 days 01:10:07.065000,,,0 days 00:00:02.145000,9841.0,237.0,7,1.0,True,0,car,165.5402777777778,0.038233220947656764,OnTrack,3298.4945891077427,-766.972179765808,131.99276676901414,4207.065,2.145
2026-05-23 20:58:24.176,0 days 01:10:07.122000,,,0 days 00:00:02.202000,9917.09491456,231.87000576,7,0.71500032,True,0,pos,169.0581459837887,0.03904570860438104,OnTrack,3295.0,-805.0,132.0,4207.122,2.202
2026-05-23 20:58:24.319,0 days 01:10:07.265000,,,0 days 00:00:02.345000,10108.0,219.0,6,0.0,True,0,car,177.70694444444447,0.041043237102683434,OnTrack,3286.9752157430466,-888.8770643446632,132.44498820253128,4207.265,2.345
2026-05-23 20:58:24.436,0 days 01:10:07.382000,,,0 days 00:00:02.462000,10176.7374624,211.20000426666667,6,0.0,True,0,pos,184.477231235532,0.04260690411011792,OnTrack,3283.0,-962.0,133.0,4207.382,2.462
2026-05-23 20:58:24.559,0 days 01:10:07.505000,,,0 days 00:00:02.585000,10249.0,203.0,6,0.0,True,0,car,191.2402777777778,0.04416889890800077,OnTrack,3282.796402377148,-1057.0898356706996,133.5513703075859,4207.505,2.585
2026-05-23 20:58:24.736,0 days 01:10:07.682000,,,0 days 00:00:02.762000,10661.999850666667,186.77500586666667,6,0.0,True,0,pos,200.25897088163848,0.046251858358883735,OnTrack,3287.0,-1187.0,134.0,4207.682,2.762
2026-05-23 20:58:24.799,0 days 01:10:07.745000,,,0 days 00:00:02.825000,10809.0,181.0,5,0.0,True,0,car,203.30694444444447,0.046955819039835436,OnTrack,3288.7792555303295,-1216.3529544971343,133.95364685420668,4207.745,2.825
2026-05-23 20:58:25.096,0 days 01:10:08.042000,,,0 days 00:00:03.122000,11567.792787703014,164.2413862838598,5,0.0,True,0,pos,216.7901575546612,0.050069905066797864,OnTrack,3304.0,-1285.0,133.0,4208.042,3.122
2026-05-23 20:58:25.118,0 days 01:10:08.064000,,,0 days 00:00:03.144000,11624.0,163.0,4,0.0,True,0,car,217.75055555555556,0.05029171881181994,OnTrack,3306.180028313884,-1291.8405450589048,132.97029127135858,4208.064,3.144
2026-05-23 20:58:25.358,0 days 01:10:08.304000,,,0 days 00:00:03.384000,10919.0,153.0,3,0.0,True,0,car,227.95055555555555,0.05264751317740394,OnTrack,3340.0257874301633,-1386.5393455808571,133.0062008102168,4208.304,3.384
2026-05-23 20:58:25.375,0 days 01:10:08.321000,,,0 days 00:00:03.401000,10880.9095184,152.468752,3,0.0531248,True,0,pos,228.65069832859564,0.052809218314642394,OnTrack,3343.0,-1393.0,133.0,4208.321,3.401
2026-05-23 20:58:25.555,0 days 01:10:08.501000,,,0 days 00:00:03.581000,10477.5970184,146.843752,3,0.6156248,True,0,pos,235.87471175634093,0.05447767813130763,OnTrack,3379.0,-1455.0,133.0,4208.501,3.581
2026-05-23 20:58:25.678,0 days 01:10:08.624000,,,0 days 00:00:03.704000,10202.0,143.0,3,1.0,True,0,car,240.6616666666667,0.05558327434758705,OnTrack,3408.962651262044,-1493.8938748734251,133.7317261391808,4208.624,3.704
2026-05-23 20:58:25.735,0 days 01:10:08.681000,,,0 days 00:00:03.761000,10167.0875392,141.7531264,3,5.45312,True,0,pos,242.84757377210857,0.056088131959615484,OnTrack,3424.0,-1511.0,134.0,4208.681,3.761
2026-05-23 20:58:25.955,0 days 01:10:08.901000,,,0 days 00:00:03.981000,10032.3375392,136.9406264,3,22.640620000000002,True,0,pos,251.1362428783075,0.05800248489869132,OnTrack,3487.0,-1571.0,134.0,4208.901,3.981
2026-05-23 20:58:25.998,0 days 01:10:08.944000,,,0 days 00:00:04.024000,10006.0,136.0,3,26.0,False,0,car,252.75055555555556,0.058375326929019936,OnTrack,3499.926402381305,-1581.6463424902206,134.10270824334708,4208.944,4.024
2026-05-23 20:58:26.215,0 days 01:10:09.161000,,,0 days 00:00:04.241000,9636.325109028572,133.67500068571428,3,5.850005942857142,False,0,pos,260.84910780341875,0.060245770434402636,OnTrack,3567.0,-1631.0,135.0,4209.161,4.241
2026-05-23 20:58:26.278,0 days 01:10:09.224000,,,0 days 00:00:04.304000,9529.0,133.0,3,0.0,True,0,car,263.095,0.060764482216992384,OnTrack,3586.659709162107,-1644.4901674493433,135.00136467629085,4209.224,4.304
2026-05-23 20:58:26.295,0 days 01:10:09.241000,,,0 days 00:00:04.321000,9594.0247552,132.1500032,3,0.0531248,True,0,pos,263.68899029909636,0.0609016703542299,OnTrack,3592.0,-1648.0,135.0,4209.241,4.321
2026-05-23 20:58:26.515,0 days 01:10:09.461000,,,0 days 00:00:04.541000,10435.5247552,121.1500032,3,0.7406248,True,0,pos,270.9322462665967,0.06257457443233969,OnTrack,3662.0,-1688.0,135.0,4209.461,4.541
2026-05-23 20:58:26.598,0 days 01:10:09.544000,,,0 days 00:00:04.624000,10753.0,117.0,2,1.0,True,0,car,273.495,0.06316646862896037,OnTrack,3687.6438813192663,-1701.6707220626208,134.5474729277157,4209.544,4.624
2026-05-23 20:58:26.715,0 days 01:10:09.661000,,,0 days 00:00:04.741000,10571.000099555555,112.45000248888888,2,1.0,True,0,pos,276.97115149973985,0.06396932138552934,OnTrack,3722.0,-1720.0,134.0,4209.661,4.741
2026-05-23 20:58:26.916,0 days 01:10:09.862000,,,0 days 00:00:04.942000,10258.333532444445,104.63333831111112,2,1.0,True,0,pos,282.63746864193666,0.0652780153068234,OnTrack,3774.0,-1750.0,135.0,4209.862,4.942
2026-05-23 20:58:26.958,0 days 01:10:09.904000,,,0 days 00:00:04.984000,10193.0,103.0,2,1.0,True,0,car,283.795,0.06554535901773638,OnTrack,3784.0806235515856,-1756.6432517067174,135.117840201896,4209.904,4.984
2026-05-23 20:58:27.156,0 days 01:10:10.102000,,,0 days 00:00:05.182000,8807.000896,97.06000384000001,2,1.0,True,0,pos,289.13124887188263,0.06677782029476921,OnTrack,3827.0,-1789.0,135.0,4210.102,5.182
2026-05-23 20:58:27.158,0 days 01:10:10.104000,,,0 days 00:00:05.184000,8793.0,97.0,2,1.0,True,0,car,289.18388888888893,0.06678997804530527,OnTrack,3827.372672644379,-1789.3109520822545,134.99867147397126,4210.104,5.184
2026-05-23 20:58:27.358,0 days 01:10:10.304000,,,0 days 00:00:05.384000,8033.0,92.0,2,1.0,True,0,car,294.2950000000001,0.0679704414528964,OnTrack,3858.02580484695,-1819.2702000609659,134.99946444729247,4210.304,5.384
2026-05-23 20:58:27.476,0 days 01:10:10.422000,,,0 days 00:00:05.502000,7830.04022016,88.46000384,2,0.41000063999999997,True,0,pos,297.14062241608747,0.06862766706607269,OnTrack,3872.0,-1850.0,135.0,4210.422,5.502
2026-05-23 20:58:27.558,0 days 01:10:10.504000,,,0 days 00:00:05.584000,7689.0,86.0,2,0.0,True,0,car,299.07277777777784,0.06907391811651417,OnTrack,3880.531749394144,-1881.352209330137,134.96265600152807,4210.504,5.584
2026-05-23 20:58:27.656,0 days 01:10:10.602000,,,0 days 00:00:05.682000,7569.377353196265,84.95373778305772,2,0.3487540723140948,True,0,pos,301.35915808516796,0.0696019810425663,OnTrack,3888.0,-1917.0,135.0,4210.602,5.682
2026-05-23 20:58:27.839,0 days 01:10:10.785000,,,0 days 00:00:05.865000,7346.0,83.0,2,1.0,False,0,car,305.551388888889,0.07057021964125589,OnTrack,3889.438088585181,-1939.5749568019012,135.6793236256147,4210.785,5.865
