Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,RelativeDistance,Status,X,Y,Z,Distance,Time_seconds,SessionTime_seconds
2026-03-14 07:30:26.573,0 days 00:45:17.261000,,826.3763888888889,0 days 00:00:00,11472.7999104,286.2624976,7,100.0,False,0,interpolation,3.5380210886721805e-06,OnTrack,325.9203065616066,-1493.502178442581,139.9646455707966,0.0,0.0,2717.261
2026-03-14 07:30:26.682,0 days 00:45:17.370000,,826.3763888888889,0 days 00:00:00.109000,11549.0998656,288.3062464,7,100.0,False,0,pos,0.001657918465938595,OnTrack,228.0,-1515.0,140.0,8.729272460444445,0.109,2717.37
2026-03-14 07:30:26.879,0 days 00:45:17.567000,,826.3763888888889,0 days 00:00:00.306000,11687.0,292.0,7,100.0,False,0,car,0.004659635984043576,OnTrack,133.95730250407146,-1535.61525159249,140.12709820555128,24.708161349333338,0.306,2717.567
2026-03-14 07:30:26.982,0 days 00:45:17.670000,,826.3763888888889,0 days 00:00:00.409000,11359.9747968,293.1035721142857,7,100.0,False,0,pos,0.006235056299866041,OnTrack,82.0,-1547.0,140.0,33.09418021815873,0.409,2717.67
2026-03-14 07:30:27.159,0 days 00:45:17.847000,87,826.3763888888889,0 days 00:00:00.586000,10798.0,295.0,7,100.0,False,0,car,0.00896311481004205,OnTrack,-57.87514874087057,-1577.661911224581,139.25686681454343,47.5983468848254,0.586,2717.847
2026-03-14 07:30:27.282,0 days 00:45:17.970000,87,819.3380665422222,0 days 00:00:00.709000,10779.5500288,298.843744,7,100.0,False,0,pos,0.010884876879834849,OnTrack,-152.0,-1598.0,139.0,57.80884147149207,0.709,2717.97
2026-03-14 07:30:27.319,0 days 00:45:18.007000,87,817.2208333333333,0 days 00:00:00.746000,10774.0,300.0,8,100.0,False,0,car,0.01146392575008959,OnTrack,-174.88842401648876,-1602.8448684482871,139.04308559068153,60.89217480482541,0.746,2718.007
2026-03-14 07:30:27.479,0 days 00:45:18.167000,87,808.0208333333333,0 days 00:00:00.906000,10774.0,300.0,8,100.0,False,0,car,0.013964736690137128,OnTrack,-262.2411811509536,-1620.9901917460554,139.7526268287916,74.22550813815874,0.906,2718.167
2026-03-14 07:30:27.562,0 days 00:45:18.250000,87,803.2483443733332,0 days 00:00:00.989000,10875.156016,300.0,8,100.0,False,0,pos,0.015261806703479723,OnTrack,-367.0,-1644.0,140.0,81.1421748048254,0.989,2718.25
2026-03-14 07:30:27.639,0 days 00:45:18.327000,87,798.8208333333332,0 days 00:00:01.066000,10969.0,300.0,8,100.0,False,0,car,0.01646554763018467,OnTrack,-515.5852171552431,-1677.1354889323832,140.0364077537422,87.55884147149207,1.066,2718.327
2026-03-14 07:30:27.682,0 days 00:45:18.370000,87,796.348344940499,0 days 00:00:01.109000,10977.784904995577,300.0,8,100.0,False,0,pos,0.017138050106015833,OnTrack,-591.0,-1694.0,140.0,91.1421748048254,1.109,2718.37
2026-03-14 07:30:27.918,0 days 00:45:18.606000,87,782.7783333333332,0 days 00:00:01.345000,11026.0,300.0,8,100.0,False,0,car,0.020826336706892563,OnTrack,-680.0633612576889,-1713.9137663289196,139.3151486346624,110.80884147149206,1.345,2718.606
2026-03-14 07:30:28.062,0 days 00:45:18.750000,87,774.5383333333333,0 days 00:00:01.489000,11064.7,300.0,8,100.0,False,0,pos,0.0230736936943915,OnTrack,-728.0,-1724.0,139.0,122.80884147149207,1.489,2718.75
2026-03-14 07:30:28.078,0 days 00:45:18.766000,87,773.6227777777777,0 days 00:00:01.505000,11069.0,300.0,8,100.0,False,0,car,0.0233271476469401,OnTrack,-741.8062941597967,-1726.9664976685197,138.9866394068172,124.14217480482539,1.505,2718.766
2026-03-14 07:30:28.222,0 days 00:45:18.910000,87,764.9827777777776,0 days 00:00:01.649000,11156.84,307.92,8,100.0,False,0,pos,0.0256535382176532,OnTrack,-904.0,-1762.0,139.0,136.4589748048254,1.649,2718.91
2026-03-14 07:30:28.278,0 days 00:45:18.966000,87,761.6227777777776,0 days 00:00:01.705000,11191.0,311.0,8,100.0,False,0,car,0.026567781823418374,OnTrack,-946.558261112834,-1771.274506879021,139.0079262895574,141.29675258260318,1.705,2718.966
2026-03-14 07:30:28.438,0 days 00:45:19.126000,87,751.9783333333332,0 days 00:00:01.865000,11249.0,314.0,8,100.0,False,0,car,0.029185297274001463,OnTrack,-1006.7926784215866,-1784.6878662678275,139.0017764831628,155.25230813815872,1.865,2719.126
2026-03-14 07:30:28.482,0 days 00:45:19.170000,87,749.3261265422221,0 days 00:00:01.909000,11261.0999296,314.21999872,8,100.0,False,0,pos,0.029906066151156617,OnTrack,-1031.0,-1790.0,139.0,159.09277478918096,1.909,2719.17
2026-03-14 07:30:28.638,0 days 00:45:19.326000,87,739.9227777777778,0 days 00:00:02.065000,11304.0,315.0,8,100.0,False,0,car,0.03246761163281386,OnTrack,-1164.3676516938115,-1818.9468987015894,139.0001225711931,172.74277478918097,2.065,2719.326
2026-03-14 07:30:28.742,0 days 00:45:19.430000,87,733.6827777777778,0 days 00:00:02.169000,11337.8,315.975,8,100.0,False,0,pos,0.034185841312952416,OnTrack,-1266.0,-1841.0,139.0,181.87094145584766,2.169,2719.43
2026-03-14 07:30:28.922,0 days 00:45:19.610000,87,722.8827931377778,0 days 00:00:02.349000,11396.2999168,317.6624976,8,100.0,False,0,pos,0.037172603331019294,OnTrack,-1422.0,-1875.0,139.0,197.75406633584768,2.349,2719.61
2026-03-14 07:30:28.958,0 days 00:45:19.646000,87,720.7227777777778,0 days 00:00:02.385000,11408.0,318.0,8,100.0,False,0,car,0.03776933082571464,OnTrack,-1447.7374289042534,-1880.5885582614528,139.00531453592242,200.93406633584763,2.385,2719.646
