Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,RelativeDistance,Status,X,Y,Z,Distance,Time_seconds,SessionTime_seconds
2026-03-14 03:36:14.913,0 days 01:19:02.539000,,271.1805555555556,0 days 00:00:00,10918.43,278.52,6,100.0,False,0,interpolation,4.45148840615198e-05,OnTrack,384.3554591886489,-1480.1186833154404,140.72826439546128,0.0,0.0,4742.539
2026-03-14 03:36:15.061,0 days 01:19:02.687000,,271.1805555555556,0 days 00:00:00.148000,10793.0,280.0,7,100.0,False,0,car,0.002174619129148238,OnTrack,277.8075657383867,-1503.74064384073,140.20722272106408,11.51111111111111,0.148,4742.687
2026-03-14 03:36:15.177,0 days 01:19:02.803000,,271.1805555555556,0 days 00:00:00.264000,10793.0,281.1658287707887,7,100.0,False,0,pos,0.003849896493871394,OnTrack,209.0,-1519.0,140.0,20.57089892705875,0.264,4742.803
2026-03-14 03:36:15.260,0 days 01:19:02.886000,6,271.1805555555556,0 days 00:00:00.347000,10793.0,282.0,7,100.0,False,0,car,0.005049554963334556,OnTrack,167.6575896634815,-1528.1711944608194,139.96010901792062,27.072565593725415,0.347,4742.886
2026-03-14 03:36:15.397,0 days 01:19:03.023000,6,272.5505549155556,0 days 00:00:00.484000,10984.7999104,282.0,7,100.0,False,0,pos,0.007028624897301392,OnTrack,82.0,-1547.0,140.0,37.804232260392084,0.484,4743.023
2026-03-14 03:36:15.460,0 days 01:19:03.086000,6,273.1805555555556,0 days 00:00:00.547000,11073.0,282.0,7,100.0,False,0,car,0.007938937711260505,OnTrack,16.379492300881903,-1561.2983903380132,140.00773260977226,42.739232260392086,0.547,4743.086
2026-03-14 03:36:15.657,0 days 01:19:03.283000,6,275.1505549155555,0 days 00:00:00.744000,11116.33998592,282.0,7,100.0,False,0,pos,0.010785089952535664,OnTrack,-240.0,-1617.0,140.0,58.170898927058744,0.744,4743.283
2026-03-14 03:36:15.660,0 days 01:19:03.286000,6,275.18055555555554,0 days 00:00:00.747000,11117.0,282.0,7,100.0,False,0,car,0.010828320459186453,OnTrack,-243.3385125546391,-1617.7260595361176,139.9999346766797,58.40589892705874,0.747,4743.286
2026-03-14 03:36:15.860,0 days 01:19:03.486000,6,277.18055555555554,0 days 00:00:00.947000,11117.0,282.0,7,100.0,False,0,car,0.0137177032071124,OnTrack,-411.4580383478079,-1654.3808467378606,140.00503721437704,74.0725655937254,0.947,4743.486
2026-03-14 03:36:16.021,0 days 01:19:03.647000,6,278.3880555555555,0 days 00:00:01.108000,11117.0,291.0,7,100.0,False,0,car,0.016117888865323015,OnTrack,-495.0770771507595,-1672.7047009743799,140.0075988276784,87.08673226039208,1.108,4743.647
2026-03-14 03:36:16.097,0 days 01:19:03.723000,6,278.78916666666663,0 days 00:00:01.184000,10805.4,294.04,7,100.0,False,0,pos,0.017274462819342536,OnTrack,-533.0,-1681.0,140.0,93.29424337150319,1.184,4743.723
2026-03-14 03:36:16.221,0 days 01:19:03.847000,6,279.4436111111111,0 days 00:00:01.308000,10297.0,299.0,7,100.0,False,0,car,0.019181454261173576,OnTrack,-592.9784072567244,-1694.0974159982893,139.97533783605382,103.59313226039208,1.308,4743.847
