Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,RelativeDistance,Status,X,Y,Z,Distance,Time_seconds,SessionTime_seconds
2026-03-14 03:12:35.558,0 days 00:55:23.184000,,565.3586111111113,0 days 00:00:00,11229.04506624,279.61000192,7,100.0,False,0,interpolation,4.887334478371529e-05,OnTrack,488.99356506974226,-1457.8159858734473,140.00000109144085,0.0,0.0,3323.184
2026-03-14 03:12:35.677,0 days 00:55:23.303000,,565.3586111111113,0 days 00:00:00.119000,11270.1,280.8,7,100.0,False,0,pos,0.0017994119158212633,OnTrack,346.0,-1489.0,140.0,9.282,0.119,3323.303
2026-03-14 03:12:35.697,0 days 00:55:23.323000,,565.3586111111113,0 days 00:00:00.139000,11277.0,281.0,7,100.0,False,0,car,0.002094052255592909,OnTrack,325.66430910749966,-1493.364984331752,139.99999921298868,10.843111111111112,0.139,3323.323
2026-03-14 03:12:35.797,0 days 00:55:23.423000,,565.3586111111113,0 days 00:00:00.239000,11370.081723539432,282.25786112891126,7,100.0,False,0,pos,0.0035693048867423264,OnTrack,238.0,-1512.0,140.0,18.683607253580867,0.239,3323.423
2026-03-14 03:12:35.856,0 days 00:55:23.482000,77,565.3586111111113,0 days 00:00:00.298000,11425.0,283.0,7,100.0,False,0,car,0.004443653765328194,OnTrack,194.18760103226492,-1521.4278925561327,140.00001562839245,23.321662809136424,0.298,3323.482
2026-03-14 03:12:36.017,0 days 00:55:23.643000,77,560.1261131911112,0 days 00:00:00.459000,11425.0,285.515624,7,100.0,False,0,pos,0.006850698498861708,OnTrack,92.0,-1544.0,140.0,36.09055599358087,0.459,3323.643
2026-03-14 03:12:36.176,0 days 00:55:23.802000,77,554.9586111111113,0 days 00:00:00.618000,11425.0,288.0,7,100.0,False,0,car,0.009255958477580206,OnTrack,-13.433549698168244,-1567.781218882698,139.999722528459,48.81055599358087,0.618,3323.802
2026-03-14 03:12:36.237,0 days 00:55:23.863000,77,552.7727800711112,0 days 00:00:00.679000,11472.057093485715,289.08928457142855,7,100.0,False,0,pos,0.010185568437147269,OnTrack,-64.0,-1579.0,140.0,53.709013315485635,0.679,3323.863
2026-03-14 03:12:36.456,0 days 00:55:24.082000,77,544.9252777777779,0 days 00:00:00.898000,11641.0,293.0,7,100.0,False,0,car,0.013539828688009407,OnTrack,-307.5040123465672,-1631.723699032107,140.0032744191318,71.53317998215229,0.898,3324.082
2026-03-14 03:12:36.577,0 days 00:55:24.203000,77,540.4550023644446,0 days 00:00:01.019000,11580.500032,293.0,7,100.0,False,0,pos,0.015386281901720266,OnTrack,-425.0,-1657.0,140.0,81.38123553770784,1.019,3324.203
2026-03-14 03:12:36.736,0 days 00:55:24.362000,77,534.5808333333334,0 days 00:00:01.178000,11501.0,293.0,8,100.0,False,0,car,0.017823698898438607,OnTrack,-518.5203750949178,-1677.214683216454,139.98596723255864,94.32206887104117,1.178,3324.362
2026-03-14 03:12:36.857,0 days 00:55:24.483000,77,529.8416691733333,0 days 00:00:01.299000,11121.8668672,296.0249984,8,100.0,False,0,pos,0.01970724121463063,OnTrack,-572.0,-1689.0,140.0,104.27179798393006,1.299,3324.483
2026-03-14 03:12:36.976,0 days 00:55:24.602000,77,525.1808333333333,0 days 00:00:01.418000,10749.0,299.0,8,100.0,False,0,car,0.021570779911364,OnTrack,-628.9490957018272,-1701.7921462722416,140.0562389019399,114.15540909504116,1.418,3324.602
2026-03-14 03:12:37.137,0 days 00:55:24.763000,77,518.696113688889,0 days 00:00:01.579000,10749.0,299.80499968,8,100.0,False,0,pos,0.024090968333434003,OnTrack,-738.0,-1726.0,140.0,127.56335491406338,1.579,3324.763
2026-03-14 03:12:37.176,0 days 00:55:24.802000,77,517.1252777777779,0 days 00:00:01.618000,10749.0,300.0,8,100.0,False,0,car,0.02470379079173641,OnTrack,-775.4691002452296,-1734.1563882624312,139.9197351562693,130.81335491406338,1.618,3324.802
2026-03-14 03:12:37.457,0 days 00:55:25.083000,77,505.3388915733334,0 days 00:00:01.899000,10805.838623418182,302.55454487272726,8,100.0,False,0,pos,0.029159013963199122,OnTrack,-1099.0,-1804.0,139.0,154.42941799996237,1.899,3325.083
2026-03-14 03:12:37.616,0 days 00:55:25.242000,77,498.6697222222223,0 days 00:00:02.058000,10838.0,304.0,8,100.0,False,0,car,0.03168831638104662,OnTrack,-1200.7897025408622,-1826.6050059924721,138.92980873649458,167.85608466662902,2.058,3325.242
2026-03-14 03:12:37.757,0 days 00:55:25.383000,77,492.5597249955556,0 days 00:00:02.199000,10850.3374944,304.0,8,100.0,False,0,pos,0.03392698123793107,OnTrack,-1256.0,-1839.0,139.0,179.76275133329568,2.199,3325.383
