Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,RelativeDistance,Status,X,Y,Z,Distance,Time_seconds,SessionTime_seconds
2026-05-02 20:17:38.736,0 days 00:30:20.939000,,373.7322222222223,0 days 00:00:00,10772.3062096,268.5437488,7,100.0,False,0,interpolation,2.6590912164574046e-07,OnTrack,1879.2992163581641,102.01153955658116,249.34580444381712,0.0,0.0,1820.939
2026-05-02 20:17:38.867,0 days 00:30:21.070000,,373.7322222222223,0 days 00:00:00.131000,10855.0,271.0,7,100.0,False,0,car,0.0018545379012454924,OnTrack,1942.6430429546485,61.680634477547805,249.79683699134455,9.861388888888888,0.131,1821.07
2026-05-02 20:17:38.914,0 days 00:30:21.117000,,373.7322222222223,0 days 00:00:00.178000,10898.70982144,272.64499328,7,100.0,False,0,pos,0.002529134678328938,OnTrack,1969.0,45.0,250.0,13.420920745599997,0.178,1821.117
2026-05-02 20:17:39.067,0 days 00:30:21.270000,10,373.7322222222223,0 days 00:00:00.331000,11041.0,278.0,7,100.0,False,0,car,0.0047519276761485325,OnTrack,2067.1809766601205,-16.83505574461062,250.77558275772103,25.235920745599998,0.331,1821.27
2026-05-02 20:17:39.134,0 days 00:30:21.337000,10,369.71221838222226,0 days 00:00:00.398000,11066.3343992,278.8375008,7,100.0,False,0,pos,0.005731764985930195,OnTrack,2112.0,-45.0,251.0,30.42539645493333,0.398,1821.337
2026-05-02 20:17:39.354,0 days 00:30:21.557000,10,356.5122337422223,0 days 00:00:00.618000,11149.5218024,281.5874976,7,100.0,False,0,pos,0.008968009225812566,OnTrack,2257.0,-136.0,251.0,47.633521308266666,0.618,1821.557
2026-05-02 20:17:39.387,0 days 00:30:21.590000,10,354.5322222222223,0 days 00:00:00.651000,11162.0,282.0,7,100.0,False,0,car,0.00945445381440843,OnTrack,2278.8727182285857,-149.7033089838011,250.98759417135946,50.218521308266666,0.651,1821.59
2026-05-02 20:17:39.547,0 days 00:30:21.750000,10,344.798888888889,0 days 00:00:00.811000,11261.0,284.0,7,100.0,False,0,car,0.011822392508142137,OnTrack,2385.8936027450927,-216.68189745174487,250.99164126257682,62.84074353048889,0.811,1821.75
2026-05-02 20:17:39.654,0 days 00:30:21.857000,10,338.051940408889,0 days 00:00:00.918000,11326.0917056,287.1208352,7,100.0,False,0,pos,0.013435264551253812,OnTrack,2458.0,-262.0,251.0,71.37461279893334,0.918,1821.857
2026-05-02 20:17:39.787,0 days 00:30:21.990000,10,329.66555555555567,0 days 00:00:01.051000,11407.0,291.0,7,100.0,False,0,car,0.015461847577912429,OnTrack,2548.03266721475,-318.88513486053097,250.99158472292075,82.12544613226666,1.051,1821.99
2026-05-02 20:17:39.834,0 days 00:30:22.037000,10,326.62362353777786,0 days 00:00:01.098000,11432.2623968,291.2937488,7,100.0,False,0,pos,0.016178592397612112,OnTrack,2580.0,-339.0,251.0,85.92844785271112,1.098,1822.037
2026-05-02 20:17:40.034,0 days 00:30:22.237000,10,313.6791790933334,0 days 00:00:01.298000,11539.7623968,292.5437488,7,100.0,False,0,pos,0.019231794491998817,OnTrack,2716.0,-424.0,251.0,102.18087834159999,1.298,1822.237
2026-05-02 20:17:40.107,0 days 00:30:22.310000,10,308.9544444444445,0 days 00:00:01.371000,11579.0,293.0,7,100.0,False,0,car,0.02034780558681367,OnTrack,2764.3296378870587,-454.50390422995986,250.79466323753044,108.12226723048887,1.371,1822.31
2026-05-02 20:17:40.267,0 days 00:30:22.470000,10,298.51000000000005,0 days 00:00:01.531000,11611.0,294.0,7,100.0,False,0,car,0.02279912240356617,OnTrack,2872.6259789117107,-523.2123128496521,250.09687680940198,121.18893389715554,1.531,1822.47
2026-05-02 20:17:40.314,0 days 00:30:22.517000,10,295.3766794666667,0 days 00:00:01.578000,11621.8687056,294.4406232,7,100.0,False,0,pos,0.023522585972546726,OnTrack,2909.0,-546.0,250.0,125.03301981115555,1.578,1822.517
2026-05-02 20:17:40.514,0 days 00:30:22.717000,10,282.0433461333334,0 days 00:00:01.778000,11668.1187056,296.3156232,7,100.0,False,0,pos,0.026618834348196802,OnTrack,3076.0,-649.0,250.0,141.4949988778222,1.778,1822.717
2026-05-02 20:17:40.587,0 days 00:30:22.790000,10,277.17666666666673,0 days 00:00:01.851000,11685.0,297.0,7,100.0,False,0,car,0.027751782910882452,OnTrack,3123.2224912043075,-677.391114749028,249.768832626907,147.51749887782222,1.851,1822.79
2026-05-02 20:17:40.734,0 days 00:30:22.937000,10,267.29499569777784,0 days 00:00:01.998000,11745.6375264,297.9187504,7,100.0,False,0,pos,0.030034610073122393,OnTrack,3204.0,-725.0,249.0,159.68251451915555,1.998,1822.937
2026-05-02 20:17:40.747,0 days 00:30:22.950000,10,266.42111111111114,0 days 00:00:02.011000,11751.0,298.0,7,100.0,False,0,car,0.030236450976842473,OnTrack,3211.8814859463573,-729.6689084110424,248.93826596733933,160.75862563026666,2.011,1822.95
2026-05-02 20:17:40.947,0 days 00:30:23.150000,10,252.92111111111117,0 days 00:00:02.211000,11897.0,298.0,7,100.0,False,0,car,0.03334228605929249,OnTrack,3351.4351000846705,-812.9610535680765,248.17395266843013,177.3141811858222,2.211,1823.15
2026-05-02 20:17:41.107,0 days 00:30:23.310000,10,242.07666666666674,0 days 00:00:02.371000,11747.0,299.0,7,100.0,False,0,car,0.03583529193755439,OnTrack,3470.6315918768073,-884.3834487333338,247.99666554715193,190.6030700747111,2.371,1823.31
2026-05-02 20:17:41.113,0 days 00:30:23.316000,10,241.6666754133334,0 days 00:00:02.377000,11748.4249696,299.0,7,100.0,False,0,pos,0.03592875518575175,OnTrack,3475.0,-887.0,248.0,191.1014034080444,2.377,1823.316
2026-05-02 20:17:41.333,0 days 00:30:23.536000,10,226.63334208,0 days 00:00:02.597000,11800.6749696,299.0,7,100.0,False,0,pos,0.03935593447659029,OnTrack,3643.0,-986.0,248.0,209.37362563026664,2.597,1823.536
2026-05-02 20:17:41.347,0 days 00:30:23.550000,10,225.67666666666668,0 days 00:00:02.611000,11804.0,299.0,7,100.0,False,0,car,0.03957480075494724,OnTrack,3656.0255451672924,-993.3685407485402,247.90430218964042,210.53640340804444,2.611,1823.55
2026-05-02 20:17:41.513,0 days 00:30:23.716000,10,214.2411199288889,0 days 00:00:02.777000,11807.1124976,299.5187496,7,100.0,False,0,pos,0.04218025308788835,OnTrack,3822.0,-1085.0,246.0,224.3475457507111,2.777,1823.716
2026-05-02 20:17:41.667,0 days 00:30:23.870000,10,203.63222222222223,0 days 00:00:02.931000,11810.0,300.0,7,100.0,True,0,car,0.04457748813607478,OnTrack,3929.9455780565004,-1142.9041574993007,244.7126978013188,237.18087908404442,2.931,1823.87
2026-05-02 20:17:41.827,0 days 00:30:24.030000,10,193.01,0 days 00:00:03.091000,11443.0,290.0,7,69.0,True,0,car,0.046995453703619766,OnTrack,4012.966291292025,-1185.6433346151853,244.08035824709373,250.06976797293333,3.091,1824.03
2026-05-02 20:17:41.873,0 days 00:30:24.076000,10,190.44167257744644,0 days 00:00:03.137000,11215.191000472862,285.7343456566275,7,61.04513108938639,True,0,pos,0.04765954701062549,OnTrack,4041.0,-1200.0,244.0,253.72081794521245,3.137,1824.076
2026-05-02 20:17:42.053,0 days 00:30:24.256000,10,180.39166774135387,0 days 00:00:03.317000,10323.762000085975,269.042608301205,7,29.917296561706614,True,0,pos,0.0501040962717483,OnTrack,4164.0,-1263.0,244.0,267.1729483602727,3.317,1824.256
2026-05-02 20:17:42.226,0 days 00:30:24.429000,10,170.73249999999996,0 days 00:00:03.490000,9467.0,253.0,7,0.0,True,0,car,0.05225593581885605,OnTrack,4272.443594264372,-1319.5845638785424,243.94308094030256,279.33100391582826,3.49,1824.429
2026-05-02 20:17:42.273,0 days 00:30:24.476000,10,168.73499727999996,0 days 00:00:03.537000,9431.51495168,247.47749248,7,0.0,True,0,pos,0.052810530981212106,OnTrack,4300.0,-1334.0,244.0,282.5619600676505,3.537,1824.476
2026-05-02 20:17:42.493,0 days 00:30:24.696000,10,159.38499727999996,0 days 00:00:03.757000,9265.41495168,221.62749248,7,0.0,True,0,pos,0.055234209171538366,OnTrack,4421.0,-1397.0,245.0,296.10586238587274,3.757,1824.696
2026-05-02 20:17:42.626,0 days 00:30:24.829000,10,153.73249999999996,0 days 00:00:03.890000,9165.0,206.0,7,0.0,True,0,car,0.05654990915432386,OnTrack,4489.556695954438,-1432.6340497973601,246.2418535432555,303.7164179414283,3.89,1824.829
2026-05-02 20:17:42.713,0 days 00:30:24.916000,10,151.29166487111107,0 days 00:00:03.977000,9208.137531733333,197.11874346666667,7,0.0,True,0,pos,0.057347265771370975,OnTrack,4532.0,-1455.0,247.0,308.4801209085394,3.977,1824.916
2026-05-02 20:17:42.973,0 days 00:30:25.176000,10,143.99722042666664,0 days 00:00:04.237000,9337.0541984,170.57707680000001,7,0.0,True,0,pos,0.05946198733335797,OnTrack,4644.0,-1516.0,248.0,320.7995764552061,4.237,1825.176
2026-05-02 20:17:43.093,0 days 00:30:25.296000,10,140.63055376,0 days 00:00:04.357000,9396.5541984,158.32707680000001,7,0.0,True,0,pos,0.06037885604749262,OnTrack,4690.0,-1542.0,248.0,326.07714568187276,4.357,1825.296
2026-05-02 20:17:43.106,0 days 00:30:25.309000,10,140.26583333333332,0 days 00:00:04.370000,9403.0,157.0,5,0.0,True,0,car,0.060477018748508984,OnTrack,4695.993819068164,-1545.6761582760205,247.99925499473306,326.6440901263172,4.37,1825.309
2026-05-02 20:17:43.306,0 days 00:30:25.509000,10,135.76583333333332,0 days 00:00:04.570000,9853.0,140.0,3,0.0,True,0,car,0.061936135901337855,OnTrack,4812.928212012793,-1623.8021197711369,248.0469861821618,334.421867904095,4.57,1825.509
2026-05-02 20:17:43.373,0 days 00:30:25.576000,10,134.72361011555554,0 days 00:00:04.637000,9589.546176914286,134.9749952,3,0.0,True,0,pos,0.062380327187235025,OnTrack,4843.0,-1645.0,248.0,336.93390253698385,4.637,1825.576
2026-05-02 20:17:43.586,0 days 00:30:25.789000,10,131.41027777777776,0 days 00:00:04.850000,8752.0,119.0,3,0.0,True,0,car,0.0636724853132042,OnTrack,4877.90672113031,-1673.7096435874155,247.48419056299437,343.9747358703172,4.85,1825.789
2026-05-02 20:17:43.693,0 days 00:30:25.896000,10,130.13222145777777,0 days 00:00:04.957000,8533.2443136,117.2166656,3,0.0,True,0,pos,0.06430845416207066,OnTrack,4888.0,-1684.0,247.0,347.4586756534283,4.957,1825.896
2026-05-02 20:17:43.946,0 days 00:30:26.149000,10,127.11027777777775,0 days 00:00:05.210000,8016.0,113.0,3,0.0,True,0,car,0.065792374090957,OnTrack,4937.919916510653,-1733.7832429512177,245.32258851987058,355.4000645423172,5.21,1826.149
2026-05-02 20:17:43.993,0 days 00:30:26.196000,10,126.64027758673316,0 days 00:00:05.257000,7926.676580607445,112.06467623672718,3,0.0,True,0,pos,0.06606387752845704,OnTrack,4950.0,-1751.0,245.0,356.8631311487411,5.257,1826.196
2026-05-02 20:17:44.147,0 days 00:30:26.350000,10,125.10027777777776,0 days 00:00:05.411000,7634.0,109.0,3,0.0,True,0,car,0.0669340811517187,OnTrack,4990.737040521412,-1822.4358412758731,244.03166613065795,361.52590892651887,5.411,1826.35
2026-05-02 20:17:44.153,0 days 00:30:26.356000,10,125.05361210666665,0 days 00:00:05.417000,7626.5751584,108.7375056,3,0.0,True,0,pos,0.06696685476618497,OnTrack,4992.0,-1825.0,244.0,361.70713810251885,5.417,1826.356
