Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,RelativeDistance,Status,X,Y,Z,Distance,Time_seconds,SessionTime_seconds
2026-05-02 20:17:02.338,0 days 00:29:44.541000,,565.6822222222221,0 days 00:00:00,10642.86,260.98,6,100.0,False,0,interpolation,3.5759301116229364e-05,OnTrack,1910.7878622498686,81.03606242321831,249.34517181553107,0.0,0.0,1784.541
2026-05-02 20:17:02.553,0 days 00:29:44.756000,,565.6822222222221,0 days 00:00:00.215000,10764.87253632,266.89250176,6,100.0,False,0,pos,0.003042374675072072,OnTrack,2022.0,11.0,250.0,15.939413299555554,0.215,1784.756
2026-05-02 20:17:02.666,0 days 00:29:44.869000,,565.6822222222221,0 days 00:00:00.328000,10829.0,270.0,7,100.0,False,0,car,0.004630880925172806,OnTrack,2082.1657761747565,-26.307254358576188,250.46959109067646,24.414413299555555,0.328,1784.869
2026-05-02 20:17:02.813,0 days 00:29:45.016000,,565.6822222222221,0 days 00:00:00.475000,10918.250038857142,271.57500068571426,7,100.0,False,0,pos,0.006705897508370439,OnTrack,2161.0,-75.0,251.0,35.503725827555556,0.475,1785.016
2026-05-02 20:17:02.946,0 days 00:29:45.149000,55,565.6822222222221,0 days 00:00:00.608000,10999.0,273.0,7,100.0,False,0,car,0.008592566594438286,OnTrack,2231.4139125706706,-118.78304748171914,251.14585616992537,45.58955916088889,0.608,1785.149
2026-05-02 20:17:03.173,0 days 00:29:45.376000,55,562.7816658488888,0 days 00:00:00.835000,11134.389323885714,275.43214354285715,7,100.0,False,0,pos,0.011835613246702844,OnTrack,2394.0,-221.0,251.0,62.95708598984127,0.835,1785.376
2026-05-02 20:17:03.226,0 days 00:29:45.429000,55,562.1044444444443,0 days 00:00:00.888000,11166.0,276.0,7,100.0,False,0,car,0.012597787271058335,OnTrack,2451.2405943890317,-257.17759360356746,250.98422387560862,67.02041932317461,0.888,1785.429
2026-05-02 20:17:03.353,0 days 00:29:45.556000,55,560.5522214399998,0 days 00:00:01.015000,11166.0,277.90500096,7,100.0,False,0,pos,0.014432277158714054,OnTrack,2590.0,-345.0,251.0,76.8242901903746,1.015,1785.556
2026-05-02 20:17:03.426,0 days 00:29:45.629000,55,559.6599999999999,0 days 00:00:01.088000,11166.0,279.0,7,100.0,False,0,car,0.015489755616754485,OnTrack,2639.6421389757797,-376.44699193142407,251.06137154268205,82.48179019037461,1.088,1785.629
2026-05-02 20:17:03.673,0 days 00:29:45.876000,55,556.8469437155554,0 days 00:00:01.335000,11337.3562944,280.5437504,7,100.0,False,0,pos,0.019079452423408846,OnTrack,2723.0,-429.0,251.0,101.73020862059683,1.335,1785.876
2026-05-02 20:17:03.746,0 days 00:29:45.949000,55,556.0155555555555,0 days 00:00:01.408000,11388.0,281.0,7,100.0,False,0,car,0.02015007449928133,OnTrack,2772.2977659933886,-459.8261990868612,250.6052112682569,107.42826417615238,1.408,1785.949
2026-05-02 20:17:03.973,0 days 00:29:46.176000,55,553.4933326222222,0 days 00:00:01.635000,11414.67250752,284.40500096,7,100.0,False,0,pos,0.023517306075959005,OnTrack,2965.0,-580.0,249.0,125.3615795144635,1.635,1786.176
2026-05-02 20:17:04.146,0 days 00:29:46.349000,55,551.571111111111,0 days 00:00:01.808000,11435.0,287.0,7,100.0,False,0,car,0.026099858837738642,OnTrack,3052.1408248986195,-633.7981101230476,248.93507136356877,139.15352395890795,1.808,1786.349
2026-05-02 20:17:04.213,0 days 00:29:46.416000,55,550.9755549866666,0 days 00:00:01.875000,11442.004552145454,287.1522728727273,7,100.0,False,0,pos,0.02709967460827746,OnTrack,3087.0,-655.0,249.0,144.49774681515038,1.875,1786.416
2026-05-02 20:17:04.493,0 days 00:29:46.696000,55,548.4866660977776,0 days 00:00:02.155000,11471.277279418182,287.7886365090909,7,100.0,False,0,pos,0.031277580786518946,OnTrack,3278.0,-770.0,249.0,166.8813074325241,2.155,1786.696
2026-05-02 20:17:04.586,0 days 00:29:46.789000,55,547.6599999999999,0 days 00:00:02.248000,11481.0,288.0,7,100.0,False,0,car,0.03266742566151313,OnTrack,3334.2058988399363,-803.8457541725207,248.83281844421813,174.32130743252412,2.248,1786.789
2026-05-02 20:17:04.813,0 days 00:29:47.016000,55,545.8944450026996,0 days 00:00:02.475000,11497.264792364984,288.7071648854341,7,100.0,False,0,pos,0.03606606381791853,OnTrack,3498.0,-901.0,248.0,192.52589810724453,2.475,1787.016
2026-05-02 20:17:04.907,0 days 00:29:47.110000,55,545.1633333333334,0 days 00:00:02.569000,11504.0,289.0,7,100.0,False,0,car,0.03747540077731754,OnTrack,3616.051465325667,-969.689874715332,247.45864996634126,200.07200921835562,2.569,1787.11
2026-05-02 20:17:04.993,0 days 00:29:47.196000,55,544.5422231466666,0 days 00:00:02.655000,11517.9749792,289.5374992,7,100.0,False,0,pos,0.038765632425093365,OnTrack,3717.0,-1028.0,247.0,206.98873836591116,2.655,1787.196
2026-05-02 20:17:05.067,0 days 00:29:47.270000,55,544.0077777777776,0 days 00:00:02.729000,11530.0,290.0,7,100.0,False,0,car,0.03988019165976022,OnTrack,3773.8995134008896,-1060.4011337270722,246.73076082001245,212.9498494770223,2.729,1787.27
2026-05-02 20:17:05.313,0 days 00:29:47.516000,55,542.367778631111,0 days 00:00:02.975000,11522.97143222857,290.0,7,100.0,False,0,pos,0.0435943142196498,OnTrack,3858.0,-1104.0,246.0,232.76651614368896,2.975,1787.516
2026-05-02 20:17:05.347,0 days 00:29:47.550000,55,542.1411111111111,0 days 00:00:03.009000,11522.0,290.0,7,100.0,False,0,car,0.044088575704034905,OnTrack,3876.788966520295,-1113.6780232166716,245.777582747358,235.50540503257784,3.009,1787.55
2026-05-02 20:17:05.574,0 days 00:29:47.777000,55,543.4022225777777,0 days 00:00:03.236000,10792.7622944,272.0291616,7,52.70832,False,0,pos,0.047207439679072385,OnTrack,4043.0,-1200.0,244.0,252.65835494457787,3.236,1787.777
2026-05-02 20:17:05.814,0 days 00:29:48.017000,55,544.7355559111111,0 days 00:00:03.476000,10021.7622944,253.0291616,7,2.70832,False,0,pos,0.05020284411234167,OnTrack,4201.0,-1282.0,244.0,269.5269657179112,3.476,1788.017
2026-05-02 20:17:05.827,0 days 00:29:48.030000,55,544.8077777777778,0 days 00:00:03.489000,9980.0,252.0,7,0.0,True,0,car,0.05035761676309237,OnTrack,4211.050955135985,-1287.2422642955112,244.0434135955133,270.43696571791116,3.489,1788.03
2026-05-02 20:17:06.034,0 days 00:29:48.237000,55,548.200274631111,0 days 00:00:03.696000,9512.69793344,233.37001728,7,0.0,True,0,pos,0.05271875750065179,OnTrack,4379.0,-1375.0,245.0,283.8557417115112,3.696,1788.237
2026-05-02 20:17:06.227,0 days 00:29:48.430000,55,551.3633333333332,0 days 00:00:03.889000,9077.0,216.0,7,0.0,True,0,car,0.0548355032338477,OnTrack,4453.012936892419,-1412.9893684148133,245.54285707729397,295.4357417115112,3.889,1788.43
2026-05-02 20:17:06.314,0 days 00:29:48.517000,55,553.0308296533332,0 days 00:00:03.976000,9456.5366624,211.1062608,7,0.0,True,0,pos,0.05578938836717093,OnTrack,4482.0,-1428.0,246.0,300.5374763475112,3.976,1788.517
2026-05-02 20:17:06.387,0 days 00:29:48.590000,55,554.4299999999998,0 days 00:00:04.049000,9775.0,207.0,7,0.0,True,0,car,0.05655202638097059,OnTrack,4512.191588487546,-1443.874313876475,246.59334137761255,304.73497634751124,4.049,1788.59
2026-05-02 20:17:06.554,0 days 00:29:48.757000,55,559.3936054044443,0 days 00:00:04.216000,10334.4493568,181.25419626666667,7,0.0,True,0,pos,0.05806558362792412,OnTrack,4591.0,-1486.0,248.0,313.1431571187705,4.216,1788.757
2026-05-02 20:17:06.627,0 days 00:29:48.830000,55,561.5633333333332,0 days 00:00:04.289000,10579.0,170.0,7,0.0,True,0,car,0.05866658388104949,OnTrack,4622.29777728227,-1503.077141763135,248.1587174898424,316.5903793409927,4.289,1788.83
2026-05-02 20:17:06.814,0 days 00:29:49.017000,55,568.6277801955554,0 days 00:00:04.476000,10344.78241984,157.37749568,7,0.0,True,0,pos,0.060106700803727056,OnTrack,4694.0,-1544.0,248.0,324.7652659221483,4.476,1789.017
2026-05-02 20:17:07.027,0 days 00:29:49.230000,55,576.6744444444442,0 days 00:00:04.689000,10078.0,143.0,4,0.0,True,0,car,0.06163111057233659,OnTrack,4766.890437783402,-1590.6170448134176,248.99145388683363,333.2260992554816,4.689,1789.23
2026-05-02 20:17:07.074,0 days 00:29:49.277000,55,578.5805477688887,0 days 00:00:04.736000,9913.2069232,140.062512,4,0.0,True,0,pos,0.06196024717188624,OnTrack,4781.0,-1600.0,249.0,335.0546931621482,4.736,1789.277
2026-05-02 20:17:07.187,0 days 00:29:49.390000,55,583.1633333333332,0 days 00:00:04.849000,9517.0,133.0,3,0.0,True,0,car,0.06273399742531892,OnTrack,4811.808827666477,-1620.8852657567372,248.43455285713304,339.22941538437044,4.849,1789.39
2026-05-02 20:17:07.254,0 days 00:29:49.457000,55,586.0666694399998,0 days 00:00:04.916000,9365.053426285715,130.36785462857142,3,0.0,True,0,pos,0.06317327082349436,OnTrack,4833.0,-1637.0,248.0,341.65570601217996,4.916,1789.457
2026-05-02 20:17:07.454,0 days 00:29:49.657000,55,594.7333361066665,0 days 00:00:05.116000,8911.481997714285,122.51071177142857,3,0.0,True,0,pos,0.06442352228647565,OnTrack,4914.0,-1708.0,247.0,348.4618566661482,5.116,1789.657
2026-05-02 20:17:07.467,0 days 00:29:49.670000,55,595.2966666666664,0 days 00:00:05.129000,8882.0,122.0,3,0.0,True,0,car,0.06450442105773792,OnTrack,4918.487204569132,-1712.4326579795668,246.92459744562044,348.90241222170374,5.129,1789.67
2026-05-02 20:17:07.667,0 days 00:29:49.870000,55,604.1299999999999,0 days 00:00:05.329000,8264.0,119.0,3,0.0,True,0,car,0.06573791293278396,OnTrack,4964.94746579689,-1769.2653544688173,245.4432261419275,355.5135233328149,5.329,1789.87
2026-05-02 20:17:07.914,0 days 00:29:50.117000,55,615.8624908799998,0 days 00:00:05.576000,8896.0949632,111.7022784,3,0.0,True,0,pos,0.06712627144874789,OnTrack,4988.0,-1815.0,244.0,363.17754076748156,5.576,1790.117
2026-05-02 20:17:08.107,0 days 00:29:50.310000,55,625.0299999999996,0 days 00:00:05.769000,9390.0,106.0,2,0.0,True,0,car,0.06815514238875651,OnTrack,4999.815095548182,-1841.1626542632512,244.03435040600888,368.86031854525936,5.769,1790.31
