Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,RelativeDistance,Status,X,Y,Z,Distance,Time_seconds,SessionTime_seconds
2026-05-01 21:11:35.247,0 days 00:53:15.244000,,684.1794444444446,0 days 00:00:00,10788.8752896,265.23214079999997,6,100.0,False,0,interpolation,0.00010178812316826142,OnTrack,1884.2674044466464,98.62857819457504,249.86786843269545,0.0,0.0,3195.244
2026-05-01 21:11:35.297,0 days 00:53:15.294000,,684.1794444444446,0 days 00:00:00.050000,10562.6258688,266.8392795428571,6,100.0,False,0,pos,0.0007940945082852706,OnTrack,1922.0,75.0,250.0,3.706101104761905,0.05,3195.294
2026-05-01 21:11:35.302,0 days 00:53:15.299000,,684.1794444444446,0 days 00:00:00.055000,10540.0,267.0,6,100.0,False,0,car,0.000863391116123936,OnTrack,1925.8769746078408,72.57008285187091,250.01341202543793,4.076934438095238,0.055,3195.299
2026-05-01 21:11:35.502,0 days 00:53:15.499000,63,684.1794444444446,0 days 00:00:00.255000,10701.0,270.0,7,100.0,False,0,car,0.0036535239869014656,OnTrack,2096.229654720061,-34.50470124199537,250.57882823656823,19.076934438095236,0.255,3195.499
2026-05-01 21:11:35.662,0 days 00:53:15.659000,63,683.2905555555557,0 days 00:00:00.415000,10802.0,276.0,7,100.0,False,0,car,0.005935232645670645,OnTrack,2221.305842528575,-113.32170530053484,250.9463278324139,31.343601104761902,0.415,3195.659
2026-05-01 21:11:35.697,0 days 00:53:15.694000,63,683.1058343466668,0 days 00:00:00.450000,10830.437344,276.1458325333333,7,100.0,False,0,pos,0.006435192544594083,OnTrack,2243.0,-127.0,251.0,34.028352254391535,0.45,3195.694
2026-05-01 21:11:35.902,0 days 00:53:15.899000,63,682.023888888889,0 days 00:00:00.655000,10997.0,277.0,7,100.0,False,0,car,0.009370196224361204,OnTrack,2329.547004217394,-181.63688440030177,251.1219779874668,49.801963365502644,0.655,3195.899
2026-05-01 21:11:36.077,0 days 00:53:16.074000,63,680.6141682133334,0 days 00:00:00.830000,11066.801059781817,279.38636101818184,7,100.0,False,0,pos,0.011922513860902036,OnTrack,2400.0,-226.0,251.0,63.38324480388648,0.83,3196.074
2026-05-01 21:11:36.782,0 days 00:53:16.779000,63,674.9350000000001,0 days 00:00:01.535000,11348.0,289.0,7,100.0,False,0,car,0.022510688663178634,OnTrack,2967.9392660976864,-581.3187254828346,249.18395606743795,119.9790781372198,1.535,3196.779
2026-05-01 21:11:36.917,0 days 00:53:16.914000,63,673.8475015466668,0 days 00:00:01.670000,11385.968696,289.4218744,7,100.0,False,0,pos,0.024532694798774908,OnTrack,3048.0,-631.0,249.0,130.8323984272198,1.67,3196.914
2026-05-01 21:11:37.102,0 days 00:53:17.099000,63,672.3572222222223,0 days 00:00:01.855000,11438.0,290.0,7,100.0,False,0,car,0.027305583670737054,OnTrack,3121.7379790855653,-676.2913623666055,248.94280392192093,145.73517620499757,1.855,3197.099
2026-05-01 21:11:37.237,0 days 00:53:17.234000,63,671.1947238755556,0 days 00:00:01.990000,11462.1874656,291.1249984,7,100.0,False,0,pos,0.029341251508897333,OnTrack,3186.0,-715.0,249.0,156.65236364499756,1.99,3197.234
2026-05-01 21:11:37.342,0 days 00:53:17.339000,63,670.2905555555556,0 days 00:00:02.095000,11481.0,292.0,7,100.0,False,0,car,0.030926556107479457,OnTrack,3258.046198552703,-758.1142979003828,249.0690043821075,165.16903031166424,2.095,3197.339
