Time_seconds,Speed,nGear,Throttle,Brake,DRS,Distance,RelativeDistance,SessionTime_seconds
0.246,263.0,6,100.0,False,0,3.652777777777778,0.0011316102280009594,5371.789
0.606,267.0,6,100.0,False,0,30.352777777777778,0.0094031216436247,5372.149
0.926,268.0,6,100.0,False,0,54.175000000000004,0.016783113518405102,5372.469
1.086,268.0,6,100.0,False,0,66.08611111111112,0.020473109455795304,5372.629
1.246,267.0,6,100.0,False,0,77.95277777777778,0.024149336751628076,5372.789
1.526,233.0,6,0.0,True,0,96.075,0.029763500346668574,5373.069
1.726,212.0,6,0.0,True,0,107.85277777777777,0.033412190359386494,5373.269
1.966,189.0,5,0.0,True,0,120.45277777777777,0.0373156002409168,5373.509
2.246,164.0,4,0.0,True,0,133.20833333333331,0.04126720036789809,5373.789
2.526,144.0,3,0.0,True,0,144.4083333333333,0.04473689804036947,5374.069
2.806,127.0,3,0.0,True,0,154.2861111111111,0.04779697862650743,5374.349
3.286,116.0,3,0.0,True,0,169.75277777777777,0.05258846588849172,5374.829
3.646,107.0,3,3.0,False,0,180.45277777777775,0.05590326634344205,5375.189
4.046,105.0,3,43.0,False,0,192.11944444444444,0.05951753475226642,5375.589
4.246,108.0,3,64.0,False,0,198.11944444444444,0.06137630136251895,5375.789
4.406,114.0,3,74.0,False,0,203.18611111111107,0.06294592650006552,5375.949
4.726,122.0,3,76.0,False,0,214.03055555555554,0.06630547504007749,5376.269
5.086,133.0,3,93.0,False,0,227.33055555555555,0.07042574102613726,5376.629
5.326,148.0,3,100.0,False,0,237.1972222222222,0.07348237945188585,5376.869
5.686,158.0,4,100.0,False,0,252.9972222222222,0.07837713152555084,5377.229
5.886,171.0,4,100.0,False,0,262.4972222222222,0.08132017865845068,5377.429
6.246,185.0,4,100.0,False,0,280.9972222222222,0.0870513757067293,5377.789
6.526,191.0,4,100.0,False,0,295.8527777777777,0.09165354414729895,5378.069
6.726,202.0,4,100.0,False,0,307.07499999999993,0.09513012614054905,5378.269
6.886,209.0,5,100.0,False,0,316.3638888888888,0.09800777222605112,5378.429
7.166,215.0,5,100.0,False,0,333.08611111111105,0.1031882236120327,5378.709
7.407,224.0,5,100.0,False,0,348.0816666666666,0.10783376327350826,5378.95
7.686,229.0,5,100.0,False,0,365.8291666666666,0.11333184000941772,5379.229
7.926,233.0,5,100.0,False,0,381.36249999999995,0.11814398023373815,5379.469
8.086,238.0,5,100.0,False,0,391.94027777777774,0.12142091692440557,5379.629
8.446,241.0,5,100.0,False,0,416.0402777777777,0.12888696280891987,5379.989
8.806,247.0,6,100.0,False,0,440.7402777777777,0.13653888535445943,5380.349
9.006,249.0,6,100.0,False,0,454.5736111111111,0.14082437503920833,5380.549
9.286,252.0,6,100.0,False,0,474.1736111111111,0.14689634596603326,5380.829
9.566,254.0,6,100.0,False,0,493.92916666666673,0.1530165071383092,5381.109
9.766,255.0,6,100.0,False,0,508.09583333333336,0.15740526163473875,5381.309
10.126,257.0,6,100.0,False,0,533.7958333333333,0.1653669786153204,5381.669
10.326,258.0,6,100.0,False,0,548.1291666666667,0.16980736551759035,5381.869
10.726,255.0,6,100.0,False,0,576.4625000000001,0.1785848745104495,5382.269
11.046,255.0,6,87.0,False,0,599.1291666666666,0.18560688170473677,5382.589
11.246,243.0,6,0.0,True,0,612.6291666666667,0.18978910657780498,5382.789
11.446,239.0,6,0.0,True,0,625.9069444444444,0.19390248824308604,5382.989
11.726,220.0,5,0.0,True,0,643.0180555555556,0.1992034152426951,5383.269
12.166,194.0,4,0.0,True,0,666.7291666666667,0.20654898551358195,5383.709
12.446,180.0,4,0.0,True,0,680.7291666666667,0.21088610760417117,5383.989
12.726,169.0,4,0.0,True,0,693.8736111111112,0.21495818334477995,5384.269
13.006,161.0,4,0.0,True,0,706.3958333333335,0.21883749810358477,5384.549
13.246,158.0,4,0.0,True,0,716.9291666666668,0.22210066615269475,5384.789
13.686,146.0,3,5.0,False,0,734.7736111111112,0.22762877573800133,5385.229
14.047,141.0,3,26.0,False,0,748.9127777777779,0.23200901088746728,5385.59
14.207,140.0,3,48.0,False,0,755.1350000000001,0.23393662070550691,5385.75
14.486,140.0,3,15.0,False,0,765.9850000000001,0.23729789032571358,5386.029
14.926,138.0,3,56.0,False,0,782.8516666666668,0.2425230897967568,5386.469
15.126,140.0,3,59.0,False,0,790.6294444444445,0.24493260206930634,5386.669
15.366,142.0,3,59.0,False,0,800.0961111111112,0.24786532272103812,5386.909
15.726,150.0,3,75.0,False,0,815.0961111111112,0.25251223924666943,5387.269
16.206,143.0,3,0.0,True,0,834.1627777777778,0.2584189864748052,5387.749
16.406,137.0,3,0.0,True,0,841.7738888888889,0.2607768663415144,5387.949
16.606,133.0,3,2.0,False,0,849.1627777777779,0.2630659030004366,5388.149
16.766,132.0,3,4.0,False,0,855.0294444444445,0.2648833636860168,5388.309
17.726,129.0,3,59.0,False,0,889.4294444444445,0.2755402922514646,5389.269
18.006,137.0,3,71.0,False,0,900.085,0.2788413240648575,5389.549
18.206,143.0,3,78.0,False,0,908.0294444444445,0.28130246874324744,5389.749
18.446,148.0,3,84.0,False,0,917.8961111111113,0.28435910716899604,5389.989
18.606,154.0,4,92.0,False,0,924.7405555555557,0.28647947796883966,5390.149
18.886,169.0,4,100.0,False,0,937.885,0.2905515537094484,5390.429
19.206,184.0,4,100.0,False,0,954.2405555555556,0.29561841380258125,5390.749
19.566,195.0,4,100.0,False,0,973.7405555555556,0.30165940528590196,5391.109
19.766,204.0,5,100.0,False,0,985.0738888888889,0.3051704088830456,5391.309
19.966,210.0,5,21.0,False,0,996.7405555555557,0.30878467729187,5391.509
20.126,207.0,5,0.0,True,0,1005.9405555555558,0.3116347860942572,5391.669
20.286,199.0,5,0.0,True,0,1014.7850000000002,0.314374745764185,5391.829
20.486,169.0,5,0.0,True,0,1024.173888888889,0.31728337129319123,5392.029
20.687,151.0,5,0.0,True,0,1032.6047222222223,0.31989519654262527,5392.23
21.007,130.0,3,0.0,True,0,1044.160277777778,0.32347504334755606,5392.55
21.406,107.0,2,0.0,True,0,1056.0194444444446,0.32714894718512605,5392.949
21.846,94.0,2,0.0,True,0,1067.5083333333334,0.33070814102772067,5393.389
22.046,88.0,2,0.0,True,0,1072.3972222222224,0.33222269159903756,5393.589
22.326,81.0,2,0.0,False,0,1078.6972222222223,0.3341743965398027,5393.869
22.646,79.0,2,0.0,True,0,1085.7194444444444,0.33634984190587597,5394.189
22.806,78.0,2,0.0,False,0,1089.1861111111111,0.3374237959473552,5394.349
22.966,76.0,2,0.0,False,0,1092.5638888888889,0.3384702127057196,5394.509
23.206,69.0,2,21.0,False,0,1097.1638888888888,0.33989526710691315,5394.749
23.406,72.0,2,28.0,False,0,1101.1638888888888,0.3411344448470815,5394.949
23.686,75.0,2,42.0,False,0,1106.997222222222,0.3429415790514937,5395.229
24.206,86.0,2,69.0,False,0,1119.4194444444443,0.3467899143667943,5395.749
24.366,90.0,2,69.0,False,0,1123.4194444444443,0.34802909210696265,5395.909
24.726,104.0,2,70.0,False,0,1133.8194444444443,0.35125095423140035,5396.269
25.006,116.0,2,80.0,False,0,1142.8416666666667,0.3540459884675579,5396.549
25.206,120.0,3,81.0,False,0,1149.5083333333334,0.35611128470117187,5396.749
25.366,128.0,3,27.0,True,0,1155.1972222222223,0.3578736708205224,5396.909
25.846,114.0,3,0.0,True,0,1170.3972222222224,0.3625825462331621,5397.389
26.246,92.0,2,0.0,True,0,1180.6194444444445,0.36574933379137015,5397.789
26.406,88.0,2,0.0,True,0,1184.5305555555556,0.3669609742484236,5397.949
26.606,76.0,1,0.0,True,0,1188.7527777777777,0.36826899519637907,5398.149
26.886,68.0,1,0.0,True,0,1194.0416666666665,0.3699074635417127,5398.429
27.087,65.0,1,0.0,True,0,1197.6708333333331,0.3710317591788863,5398.63
27.447,61.0,1,0.0,True,0,1203.770833333333,0.372921505232643,5398.99
27.647,57.0,1,0.0,False,0,1206.9374999999998,0.37390252094360965,5399.19
27.807,53.0,1,0.0,False,0,1209.2930555555554,0.37463225894615326,5399.35
28.006,49.0,1,0.0,False,0,1212.0016666666666,0.37547137159506866,5399.549
28.326,44.0,1,6.0,False,0,1215.9127777777776,0.3766830120521221,5399.869
28.486,39.0,1,16.0,False,0,1217.646111111111,0.37721998907286175,5400.029
28.966,46.0,1,17.0,False,0,1223.7794444444444,0.3791200616077866,5400.509
29.206,50.0,1,18.0,False,0,1227.1127777777776,0.38015270972459353,5400.749
29.446,52.0,1,26.0,False,0,1230.5794444444443,0.3812266637660728,5400.989
29.646,57.0,1,36.0,False,0,1233.746111111111,0.3822076794770394,5401.189
29.846,62.0,1,43.0,False,0,1237.1905555555554,0.3832747491977399,5401.389
30.086,68.0,1,48.0,False,0,1241.7238888888887,0.38467915063659736,5401.629
30.366,74.0,1,62.0,False,0,1247.4794444444442,0.386462189718284,5401.909
30.566,78.0,1,71.0,False,0,1251.8127777777775,0.387804632270133,5402.109
30.966,93.0,2,0.0,True,0,1262.146111111111,0.39100584143223466,5402.509
31.246,88.0,2,0.0,False,0,1268.9905555555554,0.3931262122320783,5402.789
31.686,79.0,2,0.0,False,0,1278.646111111111,0.3961174496104291,5403.229
32.006,76.0,2,0.0,False,0,1285.4016666666664,0.39821028312715784,5403.549
32.286,72.0,2,0.0,False,0,1291.0016666666666,0.3999451319633936,5403.829
32.606,77.0,2,35.0,False,0,1297.846111111111,0.4020655027632372,5404.149
32.926,79.0,2,49.0,False,0,1304.868333333333,0.4042409481293105,5404.469
33.086,87.0,2,45.0,False,0,1308.7349999999997,0.4054388199448065,5404.629
33.286,92.0,2,64.0,False,0,1313.8461111111108,0.4070222137239105,5404.829
33.566,98.0,2,75.0,False,0,1321.468333333333,0.4093835357510091,5405.109
33.807,106.0,2,76.0,False,0,1328.5644444444442,0.4115818714836717,5405.35
34.127,113.0,2,0.0,True,0,1338.6088888888887,0.41469358447565,5405.67
34.327,105.0,2,0.0,True,0,1344.442222222222,0.41650071868006217,5405.87
34.567,101.0,2,0.0,True,0,1351.1755555555553,0.41858666787601223,5406.11
34.726,93.0,2,0.0,True,0,1355.2830555555554,0.41985914851794764,5406.269
35.006,88.0,2,0.0,False,0,1362.1274999999998,0.42197951931779126,5406.549
35.286,84.0,2,0.0,False,0,1368.6608333333331,0.4240035096267329,5406.829
35.606,80.0,2,13.0,False,0,1375.7719444444442,0.42620649227592106,5407.149
35.806,79.0,2,29.0,False,0,1380.160833333333,0.4275661456297168,5407.349
36.286,85.0,2,39.0,False,0,1391.4941666666664,0.4310771492268605,5407.829
36.686,96.0,2,64.0,False,0,1402.160833333333,0.4343816232006427,5408.229
37.086,111.0,2,72.0,False,0,1414.4941666666662,0.4382024212328285,5408.629
37.326,114.0,2,84.0,False,0,1422.0941666666663,0.44055685893914837,5408.869
37.526,123.0,3,87.0,False,0,1428.9274999999998,0.4426737875786027,5409.069
37.886,149.0,3,99.0,False,0,1443.8274999999996,0.44728972466072975,5409.429
38.286,170.0,4,100.0,False,0,1462.7163888888886,0.45314139732263586,5409.829
39.086,203.0,4,100.0,False,0,1507.8274999999994,0.4671165685034233,5410.629
39.246,207.0,5,100.0,False,0,1517.0274999999997,0.4699666773058106,5410.789
39.486,216.0,5,100.0,False,0,1531.4274999999993,0.47442771717041654,5411.029
39.686,220.0,5,100.0,False,0,1543.6497222222217,0.47821409359870876,5411.229
40.006,230.0,5,100.0,False,0,1564.0941666666663,0.48454766871512484,5411.549
40.166,232.0,5,100.0,False,0,1574.4052777777772,0.4877419935564476,5411.709
40.447,238.0,5,100.0,False,0,1592.9824999999998,0.4934971136194324,5411.99
40.687,243.0,5,100.0,False,0,1609.1824999999994,0.4985157834671141,5412.23
41.007,248.0,6,100.0,False,0,1631.226944444444,0.5053450296795975,5412.55
41.167,249.0,6,100.0,False,0,1642.2936111111107,0.5087734214273966,5412.71
41.407,254.0,6,100.0,False,0,1659.2269444444437,0.5140192738607758,5412.95
41.606,253.0,6,100.0,False,0,1673.2122222222217,0.5183518350888493,5413.149
41.766,256.0,6,100.0,False,0,1684.5899999999992,0.5218766073275503,5413.309
42.046,258.0,6,100.0,False,0,1704.656666666666,0.5280931489907282,5413.589
42.326,261.0,6,100.0,False,0,1724.9566666666663,0.5343819760220826,5413.869
42.526,263.0,6,100.0,False,0,1739.5677777777776,0.5389084169340865,5414.069
42.926,265.0,6,100.0,False,0,1769.012222222222,0.5480301419658813,5414.469
43.166,267.0,6,100.0,False,0,1786.8122222222216,0.5535444829096304,5414.709
43.606,271.0,6,100.0,False,0,1819.9344444444441,0.5638055630303023,5415.149
43.806,271.0,6,100.0,False,0,1834.9899999999993,0.5684696903578803,5415.349
44.006,272.0,6,100.0,False,0,1850.1011111111106,0.5731510284874052,5415.549
44.446,272.0,6,100.0,False,0,1883.345555555555,0.58344997237236,5415.989
44.606,272.0,6,100.0,False,0,1895.4344444444441,0.5871950428759799,5416.149
44.966,271.0,6,100.0,False,0,1922.534444444444,0.5955904720656204,5416.509
45.126,270.0,6,100.0,True,0,1934.5344444444438,0.5993080052861255,5416.669
45.486,227.0,6,0.0,True,0,1957.2344444444439,0.6063403389615808,5417.029
45.846,202.0,5,0.0,True,0,1977.434444444444,0.612598186549431,5417.389
46.086,169.0,4,0.0,True,0,1988.7011111111105,0.6160885371842385,5417.629
46.406,144.0,3,0.0,True,0,2001.5011111111105,0.6200539059527772,5417.949
46.686,125.0,3,0.0,True,0,2011.2233333333327,0.6230657962934641,5418.229
46.847,119.0,3,0.0,True,0,2016.545277777777,0.6247145050659563,5418.39
47.287,96.0,2,0.0,True,0,2028.2786111111104,0.6283494264371168,5418.83
47.527,90.0,2,0.0,True,0,2034.2786111111104,0.6302081930473693,5419.07
47.767,83.0,2,0.0,False,0,2039.8119444444437,0.6319223889212688,5419.31
48.047,79.0,1,9.0,False,0,2045.9563888888881,0.633825903616583,5419.59
48.286,75.0,1,6.0,True,0,2050.935555555555,0.6353684217410633,5419.829
48.566,74.0,1,0.0,False,0,2056.6911111111103,0.63715146082275,5420.109
48.766,72.0,1,0.0,False,0,2060.6911111111103,0.6383906385629183,5420.309
49.246,64.0,1,34.0,False,0,2069.2244444444436,0.6410342177419441,5420.789
49.486,69.0,1,52.0,False,0,2073.8244444444435,0.6424592721431377,5421.029
49.806,77.0,1,65.0,False,0,2080.668888888888,0.6445796429429814,5421.349
50.086,89.0,2,69.0,False,0,2087.5911111111104,0.6467241088655505,5421.629
51.166,127.0,3,89.0,False,0,2125.6911111111103,0.658527276840654,5422.709
51.486,151.0,3,100.0,False,0,2139.113333333333,0.6626854065909968,5423.029
51.726,161.0,3,100.0,False,0,2149.8466666666664,0.6660105335271153,5423.269
51.926,171.0,4,100.0,False,0,2159.3466666666664,0.6689535806600151,5423.469
52.166,176.0,4,100.0,False,0,2171.0799999999995,0.6725885020311756,5423.709
52.326,189.0,4,100.0,False,0,2179.4799999999996,0.6751907752855292,5423.869
52.606,201.0,4,100.0,False,0,2195.113333333333,0.6800338949533538,5424.149
52.846,208.0,5,100.0,False,0,2208.979999999999,0.6843297111192705,5424.389
53.046,208.0,5,100.0,False,0,2220.5355555555548,0.6879095579242014,5424.589
53.246,218.0,5,100.0,False,0,2232.646666666666,0.6916615127486001,5424.789
53.447,226.0,5,83.0,False,0,2245.2649999999994,0.6955706021947728,5424.99
53.607,217.0,5,0.0,True,0,2254.9094444444436,0.6985583974127342,5425.15
53.887,190.0,5,0.0,True,0,2269.6872222222214,0.7031364707305784,5425.43
54.167,177.0,4,0.0,True,0,2283.4538888888883,0.7074013074529912,5425.71
54.527,161.0,4,0.0,True,0,2299.553888888888,0.7123889978571688,5426.07
