Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,X,Y,Z,Distance,Time_seconds,SessionTime_seconds
2026-06-07 13:07:56.202,11558.0,256.0,6,100.0,False,0,car,0 days 00:00:00.048000,0 days 01:00:03.943000,-7664.0,-6583.0,502.0,0.0,0.048,3603.943
2026-06-07 13:07:56.362,11625.0,258.0,6,100.0,False,0,car,0 days 00:00:00.208000,0 days 01:00:04.103000,-7672.0,-6447.0,503.0,136.23509092741122,0.208,3604.103
2026-06-07 13:07:56.642,11738.0,259.0,6,100.0,False,0,car,0 days 00:00:00.488000,0 days 01:00:04.383000,-7681.0,-6274.0,503.0,309.4690367925332,0.488,3604.383
2026-06-07 13:07:56.922,11740.0,257.0,6,5.0,True,0,car,0 days 00:00:00.768000,0 days 01:00:04.663000,-7674.0,-6080.0,503.0,503.595284373843,0.768,3604.663
2026-06-07 13:07:57.082,11071.0,253.0,6,0.0,True,0,car,0 days 00:00:00.928000,0 days 01:00:04.823000,-7661.0,-5885.0,503.0,699.0281372926909,0.928,3604.823
2026-06-07 13:07:57.442,10039.0,228.0,6,0.0,True,0,car,0 days 00:00:01.288000,0 days 01:00:05.183000,-7636.0,-5644.0,504.0,941.3213480931588,1.288,3605.183
2026-06-07 13:07:57.802,8649.0,205.0,6,0.0,True,0,car,0 days 00:00:01.648000,0 days 01:00:05.543000,-7624.0,-5564.0,511.0,1022.2163417577856,1.648,3605.543
2026-06-07 13:07:57.962,8156.0,188.0,6,0.0,True,0,car,0 days 00:00:01.808000,0 days 01:00:05.703000,-7599.0,-5416.0,514.0,1172.3129772963612,1.808,3605.703
2026-06-07 13:07:58.241,8140.0,168.0,5,0.0,True,0,car,0 days 00:00:02.087000,0 days 01:00:05.982000,-7577.0,-5312.0,519.0,1278.6144354237076,2.087,3605.982
2026-06-07 13:07:58.401,9130.0,153.0,5,0.0,True,0,car,0 days 00:00:02.247000,0 days 01:00:06.142000,-7540.0,-5155.0,521.0,1439.9153963631886,2.247,3606.142
2026-06-07 13:07:58.801,9327.0,135.0,4,0.0,True,0,car,0 days 00:00:02.647000,0 days 01:00:06.542000,-7508.0,-5034.0,524.0,1565.0752940940513,2.647,3606.542
2026-06-07 13:07:59.041,9880.0,120.0,3,0.0,True,0,car,0 days 00:00:02.887000,0 days 01:00:06.782000,-7489.0,-4967.0,526.0,1634.7172354799718,2.887,3606.782
2026-06-07 13:07:59.481,8905.0,104.0,2,0.0,True,0,car,0 days 00:00:03.327000,0 days 01:00:07.222000,-7453.0,-4858.0,531.0,1749.5083501186928,3.327,3607.222
2026-06-07 13:07:59.721,8663.0,98.0,2,0.0,True,0,car,0 days 00:00:03.567000,0 days 01:00:07.462000,-7427.0,-4796.0,534.0,1816.7392953745791,3.567,3607.462
2026-06-07 13:08:00.001,8310.0,95.0,2,0.0,False,0,car,0 days 00:00:03.847000,0 days 01:00:07.742000,-7379.0,-4716.0,536.0,1910.034525692104,3.847,3607.742
