Time_seconds,Speed,nGear,Throttle,Brake,DRS,Distance,RelativeDistance,SessionTime_seconds
0.079,262.0,7,100.0,False,0,3.638888888888889,0.0011125358930830923,6335.793
0.479,265.0,7,100.0,False,0,33.08333333333333,0.010114734722610402,6336.193
0.839,262.0,7,0.0,False,0,59.283333333333324,0.018124993152808664,6336.553
1.079,258.0,7,0.0,False,0,76.48333333333332,0.02338363609171745,6336.793
1.279,251.0,7,0.0,True,0,90.42777777777776,0.0276469415751351,6336.993
1.679,210.0,7,0.0,True,0,113.7611111111111,0.034780759515515236,6337.393
1.879,190.0,7,0.0,True,0,124.31666666666666,0.038007962869496724,6337.593
2.118,166.0,7,0.0,True,0,135.3372222222222,0.0413773330238615,6337.832
2.558,136.0,5,0.0,True,0,151.95944444444444,0.04645932904234183,6338.272
2.798,123.0,3,0.0,True,0,160.15944444444446,0.04896635648996114,6338.512
3.198,113.0,2,0.0,True,0,172.715,0.05280502995311806,6338.912
3.398,107.0,2,0.0,False,0,178.65944444444446,0.05462245499983396,6339.112
3.599,103.0,2,0.0,False,0,184.4102777777778,0.05638068634292551,6339.313
3.959,101.0,2,28.0,False,0,194.5102777777778,0.059468610394261476,6339.673
4.439,109.0,2,58.0,False,0,209.04361111111112,0.06391195985426967,6340.153
4.799,116.0,2,73.0,False,0,220.64361111111114,0.06745848648748723,6340.513
4.999,127.0,2,74.0,False,0,227.69916666666668,0.0696156171504117,6340.713
5.279,134.0,3,86.0,False,0,238.12138888888893,0.07280205583044816,6340.993
5.439,137.0,3,85.0,False,0,244.21027777777783,0.07466364260727118,6341.153
5.639,153.0,3,100.0,False,0,252.71027777777783,0.0772623905712668,6341.353
5.799,162.0,3,100.0,False,0,259.9102777777778,0.07946368296429837,6341.513
6.239,181.0,4,100.0,False,0,282.0325,0.08622722178301115,6341.953
6.479,189.0,4,100.0,False,0,294.63250000000005,0.09007948347081643,6342.193
6.679,197.0,5,100.0,False,0,305.5769444444445,0.09342558379047093,6342.393
6.919,208.0,5,100.0,False,0,319.4436111111111,0.09766510988075397,6342.633
7.199,217.0,5,100.0,False,0,336.3213888888889,0.10282523819096226,6342.913
7.919,234.0,6,100.0,False,0,383.1213888888889,0.11713363874566755,6343.633
8.119,237.0,6,100.0,False,0,396.28805555555556,0.1211591502977392,6343.833
8.439,242.0,6,100.0,False,0,417.7991666666667,0.12773585102753726,6344.153
8.639,245.0,6,100.0,False,0,431.41027777777776,0.13189724482609233,6344.353
9.078,251.0,6,100.0,False,0,462.0183333333333,0.14125520036219408,6344.792
9.358,252.0,6,100.0,False,0,481.6183333333334,0.14724760743211343,6345.072
9.678,255.0,6,100.0,False,0,504.2850000000001,0.15417760200276842,6345.392
10.038,258.0,6,100.0,False,0,530.085,0.16206556641113157,6345.752
10.199,260.0,7,100.0,False,0,541.7127777777778,0.16562058568475432,6345.913
10.399,260.0,7,100.0,False,0,556.1572222222221,0.1700367586954658,6346.113
10.759,262.0,7,5.0,False,0,582.3572222222222,0.1780470171256641,6346.473
11.079,254.0,7,0.0,True,0,604.935,0.18494983524702238,6346.793
11.279,248.0,7,0.0,True,0,618.7127777777777,0.18916218488800873,6346.993
11.479,232.0,7,0.0,True,0,631.6016666666665,0.19310277003602822,6347.193
11.799,219.0,6,0.0,True,0,651.0683333333332,0.1990544124320025,6347.513
12.039,204.0,5,0.0,True,0,664.6683333333332,0.2032124091743955,6347.753
12.319,187.0,4,0.0,True,0,679.2127777777777,0.20765915569056578,6348.033
12.519,183.0,4,0.0,True,0,689.3794444444443,0.21076746207887428,6348.233
12.679,179.0,4,0.0,True,0,697.3349999999998,0.2131997542909277,6348.393
13.399,151.0,3,0.0,False,0,727.5349999999997,0.2224329529394768,6349.113
13.759,145.0,3,0.0,False,0,742.0349999999997,0.22686611123099873,6349.473
13.959,141.0,3,10.0,False,0,749.868333333333,0.2292610358252692,6349.673
14.119,138.0,3,18.0,False,0,756.0016666666663,0.23113621082674055,6349.833
14.519,138.0,3,44.0,False,0,771.3349999999997,0.23582414833041893,6350.233
14.719,139.0,3,50.0,False,0,779.0572222222219,0.23818510236306853,6350.433
14.999,142.0,3,59.0,False,0,790.1016666666663,0.2415617761881818,6350.713
15.359,147.0,3,68.0,False,0,804.8016666666663,0.24605608149062128,6351.073
15.559,150.0,3,56.0,True,0,813.1349999999995,0.24860387361218558,6351.273
15.718,151.0,3,0.0,True,0,819.8041666666662,0.2506428716470735,6351.432
15.918,140.0,3,0.0,True,0,827.5819444444439,0.2530208109605335,6351.632
16.078,137.0,3,0.0,True,0,833.6708333333328,0.25488239773735655,6351.792
16.398,128.0,3,0.0,True,0,845.0486111111105,0.25836098324733237,6352.112
16.558,127.0,3,0.0,False,0,850.693055555555,0.26008668777767197,6352.272
16.839,121.0,3,5.0,False,0,860.1377777777772,0.2629742704418489,6352.553
17.119,121.0,3,31.0,False,0,869.5488888888883,0.26585157701113554,6352.833
17.439,123.0,3,51.0,False,0,880.4822222222217,0.269194280274628,6353.153
17.679,126.0,3,59.0,False,0,888.8822222222217,0.2717624547331648,6353.393
17.879,129.0,3,59.0,False,0,896.0488888888884,0.27395355595771015,6353.593
18.039,134.0,3,63.0,False,0,902.004444444444,0.27577437806058813,6353.753
18.559,149.0,3,75.0,False,0,923.5266666666662,0.28235447584654827,6354.273
18.879,160.0,4,83.0,False,0,937.7488888888885,0.2867027077340181,6354.593
19.319,181.0,4,100.0,False,0,959.8711111111106,0.29346624655273085,6355.033
19.519,185.0,4,100.0,False,0,970.1488888888883,0.2966085235026602,6355.233
19.719,197.0,4,100.0,False,0,981.0933333333329,0.29995462382231475,6355.433
19.879,201.0,5,100.0,False,0,990.0266666666663,0.3026858569766317,6355.593
20.079,209.0,5,85.0,True,0,1001.6377777777774,0.3062357806660113,6355.793
20.319,195.0,5,0.0,True,0,1014.6377777777773,0.31021033637565165,6356.033
20.479,184.0,5,0.0,True,0,1022.8155555555551,0.3127105697109468,6356.193
20.679,170.0,5,0.0,True,0,1032.2599999999995,0.3155980674487197,6356.393
20.999,139.0,5,0.0,True,0,1044.6155555555551,0.3193755939009591,6356.713
21.279,127.0,4,0.0,True,0,1054.4933333333329,0.32239557682905334,6356.993
21.559,110.0,2,0.0,True,0,1063.0488888888885,0.32501131007385947,6357.273
21.799,97.0,1,0.0,True,0,1069.5155555555552,0.32698839676019337,6357.513
22.079,92.0,1,0.0,True,0,1076.6711111111108,0.32917610092857663,6357.793
22.478,85.0,1,0.0,True,0,1086.0919444444442,0.3320563799220051,6358.192
22.638,82.0,1,0.0,True,0,1089.7363888888885,0.33317061434316925,6358.352
22.838,78.0,1,0.0,True,0,1094.0697222222218,0.33449546624638266,6358.552
23.238,72.0,1,0.0,False,0,1102.0697222222218,0.3369413466830844,6358.952
23.399,71.0,1,3.0,False,0,1105.2449999999997,0.3379121404078045,6359.113
23.759,73.0,1,24.0,False,0,1112.5449999999996,0.3401440063062948,6359.473
24.039,77.0,1,41.0,False,0,1118.5338888888884,0.3419750195776591,6359.753
24.239,81.0,1,50.0,False,0,1123.0338888888884,0.3433508273233038,6359.953
24.479,88.0,1,63.0,False,0,1128.900555555555,0.34514447297688505,6360.193
24.639,96.0,1,67.0,False,0,1133.1672222222217,0.34644894254312597,6360.353
24.879,103.0,2,74.0,False,0,1140.0338888888884,0.34854832325129503,6360.593
25.199,122.0,2,80.0,False,0,1150.8783333333329,0.35186385006549076,6360.913
25.399,129.0,2,82.0,False,0,1158.0449999999996,0.3540549512900361,6361.113
25.599,137.0,2,82.0,False,0,1165.6561111111107,0.35638193476106483,6361.313
25.999,116.0,2,0.0,True,0,1178.5449999999996,0.36032251990908437,6361.713
26.239,104.0,2,0.0,True,0,1185.478333333333,0.3624422829542259,6361.953
26.559,88.0,1,0.0,True,0,1193.3005555555553,0.3648338104923343,6362.273
26.799,76.0,1,0.0,True,0,1198.367222222222,0.3663828681022454,6362.513
26.999,70.0,1,0.0,True,0,1202.2561111111108,0.36757183775897545,6362.713
27.239,65.0,1,0.0,True,0,1206.589444444444,0.36889668966218886,6362.953
27.439,61.0,1,0.0,True,0,1209.978333333333,0.369932791791625,6363.153
27.679,59.0,1,0.0,True,0,1213.9116666666664,0.37113534967300343,6363.393
27.839,57.0,1,0.0,True,0,1216.4449999999997,0.371909878477959,6363.553
27.999,54.0,1,0.0,True,0,1218.8449999999998,0.37264364260896954,6363.713
28.319,51.0,1,0.0,False,0,1223.378333333333,0.37402964152310053,6364.033
28.519,51.0,1,0.0,False,0,1226.2116666666664,0.37489589084443237,6364.233
28.879,46.0,1,3.0,False,0,1230.8116666666665,0.3763022720955359,6364.593
29.118,46.0,1,5.0,False,0,1233.8655555555554,0.3772359529816852,6364.832
29.358,49.0,1,10.0,False,0,1237.132222222222,0.37823468749333844,6365.072
29.678,54.0,1,15.0,False,0,1241.932222222222,0.37970221575535945,6365.392
29.919,61.0,1,27.0,False,0,1246.0158333333331,0.3809507188213301,6365.633
30.279,68.0,1,41.0,False,0,1252.815833333333,0.38302971719252654,6365.993
30.599,81.0,1,53.0,False,0,1260.0158333333331,0.3852310095855581,6366.313
30.879,89.0,1,54.0,False,0,1266.9380555555554,0.3873473755745376,6366.593
31.079,91.0,1,0.0,True,0,1271.9936111111108,0.3888930361282866,6366.793
31.279,87.0,1,0.0,True,0,1276.826944444444,0.39037075555879386,6366.993
31.479,86.0,1,0.0,True,0,1281.6047222222219,0.39183148970849074,6367.193
31.679,82.0,1,0.0,False,0,1286.1602777777773,0.39322428273494586,6367.393
31.919,79.0,1,0.0,False,0,1291.426944444444,0.39483448735577453,6367.633
32.119,78.0,1,0.0,False,0,1295.7602777777772,0.39615933925898794,6367.833
32.399,75.0,1,2.0,False,0,1301.5936111111105,0.397942793744083,6368.113
32.559,75.0,1,12.0,False,0,1304.9269444444437,0.3989619105927087,6368.273
32.799,77.0,1,28.0,False,0,1310.0602777777772,0.4005313505395923,6368.513
33.079,82.0,1,41.0,False,0,1316.438055555555,0.4024812607766296,6368.793
33.519,94.0,1,58.0,False,0,1327.9269444444437,0.4059938168482263,6369.233
33.719,98.0,2,64.0,False,0,1333.3713888888883,0.40765837436764835,6369.433
33.999,114.0,2,72.0,True,0,1342.238055555555,0.4103692251849928,6369.713
34.199,108.0,2,0.0,True,0,1348.2380555555549,0.41220363551251904,6369.913
34.519,101.0,2,0.0,True,0,1357.2158333333327,0.4149484568914844,6370.233
34.719,96.0,2,0.0,True,0,1362.5491666666662,0.4165790438492856,6370.433
34.879,91.0,2,0.0,True,0,1366.5936111111105,0.4178155722922848,6370.593
35.039,89.0,2,0.0,True,0,1370.5491666666662,0.41902492428598737,6370.753
35.319,84.0,2,0.0,False,0,1377.0824999999995,0.4210223933092938,6371.033
35.559,82.0,2,0.0,False,0,1382.549166666666,0.42269374494103995,6371.273
35.878,79.0,2,7.0,False,0,1389.549444444444,0.42483397524955807,6371.592
36.118,80.0,2,20.0,False,0,1394.8827777777774,0.4264645622073593,6371.832
36.358,83.0,2,42.0,False,0,1400.4161111111107,0.42815629617607803,6372.072
36.599,88.0,2,51.0,False,0,1406.3072222222218,0.42995741535321585,6372.313
36.919,97.0,2,62.0,False,0,1414.929444444444,0.4325935309349944,6372.633
37.199,108.0,2,72.0,False,0,1423.329444444444,0.43516170539353133,6372.913
37.399,116.0,2,78.0,False,0,1429.7738888888887,0.4371319979675411,6373.113
37.559,121.0,2,82.0,False,0,1435.1516666666664,0.4387761731499906,6373.273
38.039,144.0,3,90.0,False,0,1454.3516666666665,0.44464628619807484,6373.753
38.279,154.0,3,100.0,False,0,1464.618333333333,0.4477851660918421,6373.993
38.439,164.0,3,100.0,False,0,1471.907222222222,0.45001363493417035,6374.153
38.719,179.0,4,100.0,False,0,1485.829444444444,0.4542701463052638,6374.433
38.959,183.0,4,100.0,False,0,1498.0294444444442,0.458000113971234,6374.673
39.199,200.0,5,100.0,False,0,1511.3627777777772,0.46207658136573687,6374.913
39.399,204.0,5,100.0,False,0,1522.6961111111107,0.4655415786510644,6375.113
39.719,217.0,5,100.0,False,0,1541.9849999999997,0.4714388681484453,6375.433
39.879,220.0,5,100.0,False,0,1551.7627777777773,0.4744282775710808,6375.593
40.119,227.0,5,100.0,False,0,1566.8961111111107,0.4790550680638416,6375.833
40.359,233.0,6,100.0,False,0,1582.4294444444442,0.4838041525784376,6376.073
40.639,239.0,6,100.0,False,0,1601.0183333333332,0.48948742753760716,6376.353
40.839,243.0,6,100.0,False,0,1614.518333333333,0.4936148507745413,6376.553
41.119,246.0,6,100.0,False,0,1633.6516666666664,0.49946458148565304,6376.833
41.319,250.0,6,100.0,False,0,1647.5405555555556,0.5037109016882604,6377.033
41.639,253.0,6,100.0,False,0,1670.0294444444444,0.5105865433603219,6377.353
42.559,259.0,7,100.0,False,0,1736.2183333333328,0.5308228069178668,6378.273
42.758,261.0,7,100.0,False,0,1750.6458333333333,0.5352337994179313,6378.472
42.958,263.0,7,100.0,False,0,1765.2569444444441,0.539700928271074,6378.672
43.119,264.0,7,100.0,False,0,1777.063611111111,0.5433106401489064,6378.833
43.359,266.0,7,100.0,False,0,1794.7969444444445,0.5487323417835953,6379.073
43.719,268.0,7,100.0,False,0,1821.5969444444445,0.5569260412465462,6379.433
43.999,270.0,7,100.0,False,0,1842.5969444444445,0.5633464773928883,6379.713
44.319,273.0,7,100.0,False,0,1866.8636111111111,0.5707656480508837,6380.033
44.519,274.0,7,100.0,False,0,1882.085833333333,0.5754196149929411,6380.233
44.759,274.0,7,0.0,False,0,1900.3525,0.5810043753234102,6380.473
45.039,269.0,7,0.0,False,0,1921.2747222222222,0.5874010320766178,6380.753
45.359,259.0,7,0.0,True,0,1944.2969444444445,0.5944397324444595,6381.073
45.599,237.0,7,0.0,True,0,1960.0969444444443,0.5992703463069454,6381.313
45.799,226.0,7,0.0,True,0,1972.6525,0.6031090197701023,6381.513
