Time_seconds,Speed,nGear,Throttle,Brake,DRS,Distance,RelativeDistance,SessionTime_seconds
0.158,260.0,6,100.0,False,0,3.6111111111111107,0.001101479659991869,6369.913
0.478,262.0,6,100.0,False,0,26.899999999999995,0.008205176174893275,6370.233
0.678,262.0,6,100.0,False,0,41.455555555555556,0.012644986496706657,6370.433
0.838,263.0,6,100.0,False,0,53.14444444444444,0.01621039142689572,6370.593
0.998,261.0,6,18.0,False,0,64.74444444444444,0.01974868301160806,6370.753
1.278,255.0,6,0.0,False,0,84.57777777777777,0.025798348221101865,6371.033
1.518,243.0,6,0.0,True,0,100.77777777777777,0.03073975543423462,6371.273
1.837,208.0,6,0.0,True,0,119.20888888888888,0.03636170761883312,6371.592
2.077,175.0,5,0.0,True,0,130.87555555555554,0.039920334212653,6371.832
2.317,158.0,4,0.0,True,0,141.40888888888887,0.043133265651644666,6372.072
2.558,142.0,3,0.0,True,0,150.91499999999996,0.04603286849197095,6372.313
2.878,120.0,2,0.0,True,0,161.58166666666665,0.04928646994917771,6372.633
3.158,114.0,2,0.0,False,0,170.44833333333332,0.05199102616048082,6372.913
3.358,110.0,2,6.0,False,0,176.55944444444444,0.053855068662005526,6373.113
3.518,107.0,2,12.0,False,0,181.315,0.0553056326450102,6373.273
3.998,107.0,2,36.0,False,0,195.58166666666668,0.05965732459402424,6373.753
4.238,109.0,2,50.0,False,0,202.84833333333336,0.06187384058674634,6373.993
4.398,114.0,2,59.0,False,0,207.915,0.06341930127891954,6374.153
4.678,125.0,2,67.0,False,0,217.63722222222222,0.06638482344043611,6374.433
4.918,133.0,2,76.0,False,0,226.5038888888889,0.06908937965173922,6374.673
5.158,142.0,3,89.0,False,0,235.97055555555556,0.07197695094501022,6374.913
5.358,153.0,3,100.0,False,0,244.47055555555553,0.07456966460622184,6375.113
5.678,172.0,4,100.0,False,0,259.75944444444445,0.07923316002821819,6375.433
5.838,177.0,4,95.0,False,0,267.62611111111113,0.08163269110290818,6375.593
6.078,189.0,4,100.0,False,0,280.22611111111115,0.08547600782423366,6375.833
6.318,197.0,4,100.0,False,0,293.3594444444444,0.08948200461841944,6376.073
6.598,204.0,5,100.0,False,0,309.2261111111111,0.09432173678601449,6376.353
6.798,214.0,5,100.0,False,0,321.115,0.0979481467435262,6376.553
7.078,222.0,5,100.0,False,0,338.38166666666666,0.10321491410237962,6376.833
7.278,227.0,5,100.0,False,0,350.99277777777775,0.10706161999188968,6377.033
