Time_seconds,Speed,nGear,Throttle,Brake,DRS,Distance,RelativeDistance,SessionTime_seconds
0.579,259.0,6,100.0,False,0,3.5972222222222223,0.0011186174130637762,3839.223
1.02,261.0,6,29.0,False,0,35.569722222222225,0.011061009911986844,3839.664
1.18,247.0,6,0.0,True,0,46.5475,0.01447473656559923,3839.824
1.34,238.0,6,0.0,True,0,57.12527777777779,0.01776407641806785,3839.984
1.62,215.0,6,0.0,True,0,73.84750000000001,0.022964135743661622,3840.264
1.86,186.0,5,0.0,True,0,86.2475,0.02682012657911853,3840.504
2.02,180.0,5,4.0,True,0,94.2475,0.029307862601993955,3840.664
2.26,155.0,4,0.0,True,0,104.58083333333333,0.03252118829820804,3840.904
2.62,134.0,3,0.0,True,0,117.98083333333334,0.03668814613652438,3841.264
2.779,124.0,3,0.0,True,0,123.4575,0.03839120875551785,3841.423
3.099,111.0,2,0.0,True,0,133.32416666666666,0.0414594165170642,3841.743
3.299,107.0,2,5.0,False,0,139.26861111111108,0.04330794258961747,3841.943
3.499,105.0,2,10.0,False,0,145.10194444444443,0.045121916772964135,3842.143
3.739,102.0,2,10.0,False,0,151.9019444444444,0.04723649239240824,3842.383
3.899,100.0,2,16.0,False,0,156.34638888888887,0.04861856796067237,3842.543
4.299,102.0,2,48.0,False,0,167.6797222222222,0.05214286065974589,3842.943
4.539,108.0,2,63.0,False,0,174.8797222222222,0.05438182308033377,3843.183
4.819,115.0,2,73.0,False,0,183.82416666666666,0.057163250161465326,3843.463
5.219,135.0,2,88.0,False,0,198.82416666666666,0.06182775520435675,3843.863
5.459,149.0,3,100.0,False,0,208.75749999999996,0.06491669409942706,3844.103
5.819,159.0,3,100.0,False,0,224.65749999999997,0.06986106944489197,3844.463
6.059,178.0,4,100.0,False,0,236.52416666666664,0.07355121121215719,3844.703
6.219,181.0,4,100.0,False,0,244.5686111111111,0.07605276799071525,3844.863
6.459,189.0,4,100.0,False,0,257.16861111111103,0.07997095222674402,3845.103
6.859,207.0,5,100.0,False,0,280.16861111111103,0.08712319329251088,3845.503
7.019,210.0,5,100.0,False,0,289.50194444444435,0.09002555198586554,3845.663
7.219,216.0,5,100.0,False,0,301.50194444444435,0.09375715602017867,3845.863
7.419,221.0,5,100.0,False,0,313.77972222222206,0.0975751397775083,3846.063
7.78,226.0,5,100.0,False,0,336.4424999999999,0.10462251585953312,3846.424
8.14,233.0,6,100.0,False,0,359.7424999999999,0.1118680470261578,3846.784
8.54,240.0,6,100.0,False,0,386.40916666666647,0.12016050043574251,3847.184
8.74,242.0,6,100.0,False,0,399.853611111111,0.12434127902974151,3847.384
9.14,246.0,6,100.0,False,0,427.18694444444435,0.1328410437745659,3847.784
9.38,247.0,6,100.0,False,0,443.65361111111105,0.1379616337549845,3848.024
9.739,248.0,6,100.0,False,0,468.38472222222214,0.14565219325459022,3848.383
10.099,249.0,6,100.0,False,0,493.2847222222221,0.15339527162578998,3848.743
10.419,249.0,6,100.0,False,0,515.4180555555555,0.16027800795574532,3849.063
10.579,249.0,6,100.0,False,0,526.4847222222222,0.16371937612072301,3849.223
10.979,247.0,6,100.0,False,0,553.9291666666666,0.17225369275475394,3849.623
11.179,248.0,6,86.0,True,0,567.7069444444444,0.17653812701637275,3849.823
11.339,239.0,6,0.0,True,0,578.3291666666667,0.17984128762452403,3849.983
11.659,218.0,6,0.0,True,0,597.7069444444444,0.1858671371021556,3850.303
12.019,208.0,6,0.0,True,0,618.5069444444443,0.1923352507616317,3850.663
12.219,204.0,5,0.0,True,0,629.8402777777776,0.1958595434607052,3850.863
12.459,190.0,5,0.0,True,0,642.5069444444442,0.19979845883025793,3851.103
12.699,178.0,4,0.0,True,0,654.3736111111109,0.20348860059752313,3851.343
12.939,171.0,4,0.0,True,0,665.7736111111109,0.20703362443012063,3851.583
13.299,162.0,4,2.0,True,0,681.9736111111108,0.21207128987644333,3851.943
13.499,157.0,3,5.0,False,0,690.6958333333331,0.2147836131791617,3852.143
13.659,154.0,3,8.0,False,0,697.5402777777775,0.21691200955428844,3852.303
13.979,148.0,3,0.0,False,0,710.695833333333,0.22100295323635022,3852.623
14.139,147.0,3,0.0,False,0,717.2291666666663,0.22303460432169847,3852.783
14.38,143.0,3,43.0,False,0,726.8022222222219,0.2260115087160164,3853.024
14.58,145.0,3,41.0,False,0,734.8577777777774,0.22851652068349512,3853.224
14.94,147.0,3,60.0,False,0,749.5577777777773,0.2330877356255287,3853.584
15.34,154.0,3,59.0,False,0,766.6688888888884,0.23840872656334558,3853.984
15.74,153.0,3,0.0,True,0,783.6688888888884,0.24369516561195584,3854.384
16.14,141.0,3,1.0,True,0,799.3355555555551,0.24856698199008687,3854.784
16.459,131.0,3,17.0,False,0,810.9436111111106,0.2521767042352237,3855.103
16.699,128.0,3,12.0,False,0,819.476944444444,0.25483028932629087,3855.343
16.979,126.0,3,12.0,False,0,829.276944444444,0.2578777659543133,3855.623
17.139,125.0,3,18.0,False,0,834.8324999999995,0.2596053604146434,3855.783
17.379,124.0,3,51.0,False,0,843.0991666666663,0.2621760209716147,3856.023
17.619,128.0,3,55.0,False,0,851.6324999999996,0.2648296060626818,3856.263
17.859,135.0,3,62.0,False,0,860.6324999999997,0.2676283090884167,3856.503
18.059,140.0,3,62.0,False,0,868.4102777777774,0.27004694133287893,3856.703
18.219,141.0,3,64.0,False,0,874.6769444444441,0.2719956678841313,3856.863
18.539,151.0,3,82.0,False,0,888.0991666666663,0.276169536100289,3857.183
18.899,168.0,3,100.0,False,0,904.8991666666662,0.28139378174832735,3857.543
19.219,178.0,4,100.0,False,0,920.7213888888884,0.2863139707713476,3857.863
19.499,188.0,4,100.0,False,0,935.3436111111106,0.29086099939093657,3858.143
19.659,194.0,4,100.0,False,0,943.9658333333329,0.293542225993369,3858.303
21.02,145.0,5,0.0,True,0,998.7838888888884,0.31058883243206176,3859.664
21.3,124.0,3,0.0,True,0,1008.428333333333,0.3135879364151949,3859.944
21.5,112.0,2,0.0,True,0,1014.6505555555551,0.31552284221076465,3860.144
21.74,103.0,2,0.0,True,0,1021.5172222222218,0.31765814896373273,3860.384
22.02,94.0,2,0.0,True,0,1028.828333333333,0.31993166327352723,3860.664
22.22,87.0,2,0.0,True,0,1033.6616666666662,0.32143467045401447,3860.864
22.5,82.0,2,0.0,True,0,1040.039444444444,0.32341794889447345,3861.144
22.86,78.0,2,0.0,False,0,1047.8394444444439,0.325843491516777,3861.504
23.059,74.0,2,0.0,False,0,1051.9299999999994,0.32711551931791805,3861.703
23.339,73.0,2,10.0,False,0,1057.607777777777,0.32888112085637544,3861.983
23.619,74.0,2,22.0,False,0,1063.3633333333325,0.33067090871727745,3862.263
23.779,77.0,2,30.0,False,0,1066.7855555555548,0.33173510690484087,3862.423
24.219,86.0,2,52.0,False,0,1077.296666666666,0.3350037156237855,3862.863
24.379,93.0,2,58.0,False,0,1081.4299999999994,0.3362890459022712,3863.023
24.579,100.0,2,64.0,False,0,1086.9855555555548,0.3380166403626013,3863.223
24.859,115.0,2,78.0,False,0,1095.9299999999994,0.3407980674437329,3863.503
25.219,130.0,2,93.0,False,0,1108.9299999999994,0.34484063848090546,3863.863
25.659,120.0,2,0.0,True,0,1123.596666666666,0.34940148785617703,3864.303
25.859,110.0,2,0.0,True,0,1129.707777777777,0.3513018417625402,3864.503
26.259,92.0,2,0.0,True,0,1139.9299999999992,0.3544806155695477,3864.903
26.419,87.0,1,0.0,True,0,1143.7966666666657,0.3556830213139374,3865.063
26.619,77.0,1,0.0,True,0,1148.0744444444435,0.35701326904839165,3865.263
26.859,69.0,1,0.0,True,0,1152.6744444444437,0.35844371726154506,3865.503
27.099,65.0,1,0.0,True,0,1157.007777777777,0.35979124094060255,3865.743
27.54,56.0,1,0.0,False,0,1163.8677777777768,0.3619244745802182,3866.184
27.7,55.0,1,0.0,False,0,1166.3122222222212,0.3626846161427634,3866.344
28.02,53.0,1,0.0,False,0,1171.0233333333324,0.36414961624512343,3866.664
28.38,49.0,1,0.0,False,0,1175.9233333333325,0.3656733545591347,3867.024
28.66,46.0,1,2.0,False,0,1179.5011111111103,0.36678592539158733,3867.304
28.86,44.0,1,9.0,False,0,1181.9455555555546,0.36754606695413256,3867.504
29.06,47.0,1,12.0,False,0,1184.5566666666657,0.3683580363504877,3867.704
29.26,50.0,1,14.0,False,0,1187.3344444444435,0.3692218335806528,3867.904
29.54,52.0,1,22.0,False,0,1191.378888888888,0.37047952234777315,3868.184
29.819,59.0,1,35.0,False,0,1195.951388888888,0.3719014189683479,3868.463
30.099,67.0,1,48.0,False,0,1201.1624999999992,0.37352190257213763,3868.743
30.419,79.0,1,52.0,False,0,1208.1847222222214,0.37570558196999493,3869.063
30.619,87.0,1,68.0,False,0,1213.0180555555546,0.3772085891504821,3869.263
30.899,93.0,2,0.0,True,0,1220.251388888888,0.379457917137832,3869.543
31.179,87.0,2,1.0,False,0,1227.0180555555546,0.38156212719051413,3869.823
31.419,85.0,2,1.0,False,0,1232.6847222222214,0.3833242735400509,3870.063
31.659,82.0,2,1.0,False,0,1238.151388888888,0.3850242264890158,3870.303
31.899,81.0,2,0.0,False,0,1243.5513888888881,0.38670344830445674,3870.543
32.259,81.0,2,4.0,False,0,1251.651388888888,0.3892222810276181,3870.903
32.419,80.0,2,4.0,False,0,1255.2069444444435,0.3903279414822293,3871.063
32.579,81.0,2,32.0,False,0,1258.8069444444436,0.3914474226925233,3871.223
32.939,87.0,2,43.0,False,0,1267.5069444444437,0.39415283561740033,3871.583
33.139,91.0,2,50.0,False,0,1272.5624999999993,0.3957249465763008,3871.783
34.02,112.0,2,0.0,True,0,1299.9713888888882,0.4042482066057857,3872.664
34.26,100.0,2,0.0,True,0,1306.6380555555547,0.4063213199581818,3872.904
34.42,97.0,2,1.0,True,0,1310.9491666666659,0.40766193325939803,3873.064
34.62,91.0,2,2.0,True,0,1316.0047222222213,0.40923404421829845,3873.264
34.82,87.0,2,0.0,False,0,1320.8380555555548,0.4107370513987857,3873.464
35.1,83.0,2,20.0,False,0,1327.2936111111103,0.41274451616168933,3873.744
35.38,82.0,2,0.0,False,0,1333.671388888888,0.41472779460214837,3874.024
35.58,81.0,2,18.0,False,0,1338.171388888888,0.4161271461150158,3874.224
35.74,81.0,2,25.0,False,0,1341.7713888888882,0.41724662732530976,3874.384
36.1,87.0,2,42.0,False,0,1350.4713888888882,0.4199520402501868,3874.744
36.38,95.0,2,57.0,False,0,1357.8602777777771,0.4222497408824259,3875.024
36.579,100.0,2,63.0,False,0,1363.388055555555,0.42396869737045445,3875.223
36.859,112.0,2,75.0,False,0,1372.0991666666662,0.4266775654842522,3875.503
37.099,122.0,2,87.0,False,0,1380.2324999999994,0.4292067637741755,3875.743
37.379,133.0,2,100.0,False,0,1390.5769444444438,0.4324235446593102,3876.023
37.539,148.0,2,100.0,False,0,1397.1547222222218,0.4344690165003412,3876.183
37.819,159.0,3,100.0,False,0,1409.5213888888886,0.4383146417690362,3876.463
38.059,174.0,3,100.0,False,0,1421.1213888888883,0.44192185900220543,3876.703
38.219,178.0,4,100.0,False,0,1429.0324999999996,0.4443819535137156,3876.863
38.379,186.0,4,100.0,False,0,1437.299166666666,0.4469526140706868,3877.023
38.619,194.0,4,100.0,False,0,1450.2324999999994,0.45097445397433544,3877.263
38.819,202.0,4,100.0,False,0,1461.4547222222218,0.4544641947842024,3877.463
39.019,209.0,4,100.0,False,0,1473.0658333333326,0.45807486720629237,3877.663
39.379,220.0,5,100.0,False,0,1495.0658333333326,0.4649161412691998,3878.023
39.699,227.0,5,100.0,False,0,1515.2436111111103,0.4711907643491189,3878.343
39.939,232.0,5,100.0,False,0,1530.710277777777,0.47600038732667804,3878.583
40.179,238.0,6,100.0,False,0,1546.5769444444438,0.480934397105381,3878.823
40.58,244.0,6,100.0,False,0,1573.7558333333325,0.4893861347242081,3879.224
40.78,248.0,6,100.0,False,0,1587.5336111111105,0.493670568985827,3879.424
40.98,249.0,6,100.0,False,0,1601.3669444444436,0.497972279192049,3879.624
41.22,252.0,6,100.0,False,0,1618.1669444444437,0.5031965248400875,3879.864
41.58,254.0,6,100.0,False,0,1643.5669444444436,0.5110950867127169,3880.224
41.94,255.0,6,100.0,False,0,1669.0669444444436,0.5190247452856322,3880.584
42.1,255.0,6,100.0,False,0,1680.400277777777,0.5225490379847059,3880.744
42.3,256.0,6,100.0,False,0,1694.622499999999,0.526971679803151,3880.944
42.5,257.0,6,100.0,False,0,1708.900277777777,0.5314115975661996,3881.144
42.78,256.0,6,100.0,False,0,1728.8113888888884,0.5376032961120228,3881.424
42.94,257.0,6,100.0,False,0,1740.2336111111103,0.5411552303224616,3881.584
43.259,259.0,6,100.0,False,0,1763.1838888888883,0.5482920094178085,3881.903
