Time_seconds,Speed,nGear,Throttle,Brake,DRS,Distance,RelativeDistance,SessionTime_seconds
0.058,260.0,7,99.0,False,0,3.6111111111111107,0.0011125058320978806,4036.664
0.297,263.0,7,99.0,False,0,21.071388888888887,0.006491642685034533,4036.903
0.498,264.0,7,99.0,False,0,35.811388888888885,0.011032720336914681,4037.104
0.658,264.0,7,99.0,False,0,47.54472222222222,0.014647508517515796,4037.264
0.938,266.0,7,42.0,False,0,68.2336111111111,0.021021311161719652,4037.544
1.338,244.0,7,0.0,True,0,95.34472222222222,0.02937366263962374,4037.944
1.658,213.0,7,0.0,True,0,114.27805555555554,0.03520661629468463,4038.264
1.938,184.0,7,0.0,True,0,128.58916666666664,0.03961556248466023,4038.544
2.138,168.0,6,0.0,True,0,137.92249999999999,0.04249096217377475,4038.744
2.378,144.0,4,0.0,True,0,147.52249999999998,0.04544851613972112,4038.984
2.698,129.0,3,0.0,True,0,158.98916666666665,0.048981150043490386,4039.304
3.098,113.0,2,0.0,True,0,171.5447222222222,0.052849247244323015,4039.704
3.298,110.0,2,0.0,True,0,177.6558333333333,0.05473194942171943,4039.904
3.458,107.0,2,0.0,False,0,182.41138888888887,0.05619703402522064,4040.064
3.818,102.0,2,2.0,False,0,192.61138888888885,0.05933943511403865,4040.424
4.018,102.0,2,18.0,False,0,198.2780555555555,0.06108521349671532,4040.624
4.258,104.0,2,41.0,False,0,205.21138888888885,0.06322122469434326,4040.864
4.538,112.0,2,56.0,False,0,213.92249999999996,0.06590493107085015,4041.144
4.778,123.0,2,61.0,False,0,222.12249999999995,0.06843117508342933,4041.384
4.978,132.0,3,73.0,False,0,229.4558333333333,0.07069041769630502,4041.584
5.338,142.0,3,95.0,False,0,243.6558333333333,0.0750651329376007,4041.944
5.618,162.0,4,99.0,False,0,256.2558333333333,0.0789469225179053,4042.224
5.978,180.0,4,99.0,False,0,274.25583333333327,0.08449233620405473,4042.584
6.378,194.0,5,99.0,False,0,295.81138888888887,0.09113314024796208,4042.984
6.738,205.0,5,99.0,False,0,316.31138888888887,0.09744875027941007,4043.344
6.898,212.0,5,99.0,False,0,325.73361111111103,0.10035153472746851,4043.504
7.178,219.0,6,99.0,False,0,342.7669444444444,0.10559913916010252,4043.784
8.098,237.0,6,99.0,False,0,403.3336111111111,0.12425842928553499,4044.704
8.378,241.0,6,99.0,False,0,422.0780555555555,0.13003319032783997,4044.984
8.778,247.0,7,99.0,False,0,449.5225,0.1384882346517839,4045.384
8.938,247.0,7,99.0,False,0,460.5002777777778,0.14187025238136144,4045.544
9.138,249.0,7,99.0,False,0,474.33361111111105,0.1461320054920133,4045.744
9.338,252.0,7,99.0,False,0,488.333611111111,0.15044510502568506,4045.944
9.498,253.0,7,99.0,False,0,499.57805555555547,0.15390927703209448,4046.104
9.778,255.0,7,99.0,False,0,519.4113888888888,0.16001950137146284,4046.384
10.058,256.0,7,98.0,False,0,539.3224999999999,0.16615368737490716,4046.664
10.418,258.0,7,98.0,False,0,565.1224999999998,0.17410211365838799,4047.024
10.618,260.0,7,98.0,False,0,579.5669444444444,0.17855213698677955,4047.224
10.818,259.0,7,76.0,False,0,593.9558333333332,0.18298504484083108,4047.424
11.098,253.0,7,0.0,True,0,613.633611111111,0.18904734585204755,4047.704
11.378,229.0,6,0.0,True,0,631.444722222222,0.19453456692544105,4047.984
11.618,220.0,6,0.0,True,0,646.1113888888887,0.19905305215119243,4048.224
11.938,206.0,5,0.0,True,0,664.4224999999998,0.2046943124936457,4048.544
12.098,197.0,5,0.0,True,0,673.1780555555554,0.20739171124962458,4048.704
12.258,193.0,5,0.0,True,0,681.755833333333,0.2100343404877155,4048.864
12.538,180.0,4,0.0,True,0,695.7558333333332,0.21434744002138734,4049.144
12.738,174.0,4,0.0,True,0,705.4224999999998,0.21732553255654163,4049.344
12.898,169.0,4,0.0,True,0,712.9336111111108,0.2196395446873052,4049.504
13.098,164.0,4,0.0,True,0,722.044722222222,0.2224464824790599,4049.704
13.378,158.0,4,0.0,False,0,734.3336111111109,0.22623242540306068,4049.984
13.738,153.0,4,5.0,False,0,749.6336111111109,0.2309460270362877,4050.344
13.898,152.0,4,13.0,False,0,756.3891666666665,0.23302726871602775,4050.504
14.058,149.0,4,26.0,False,0,763.0113888888887,0.23506743325735185,4050.664
14.258,148.0,4,29.0,False,0,771.2336111111109,0.23760052345966703,4050.864
14.458,149.0,4,19.0,False,0,779.5113888888887,0.24015072913632218,4051.064
14.818,145.0,4,20.0,False,0,794.0113888888887,0.24461786793905366,4051.424
15.058,145.0,4,29.0,False,0,803.6780555555554,0.24759596047420798,4051.664
15.298,146.0,4,30.0,False,0,813.4113888888887,0.2505945915785703,4051.904
15.538,148.0,4,23.0,False,0,823.2780555555554,0.2536342998213485,4052.144
15.858,143.0,4,0.0,True,0,835.9891666666665,0.25755032035033304,4052.464
