Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,X,Y,Z,Distance,Time_seconds,SessionTime_seconds
2026-06-07 13:08:36.402,11551.0,260.0,6,100.0,False,0,car,0 days 00:00:00.067000,0 days 01:00:44.143000,-7665.0,-6562.0,502.0,0.0,0.067,3644.143
2026-06-07 13:08:36.722,11635.0,262.0,6,100.0,False,0,car,0 days 00:00:00.387000,0 days 01:00:44.463000,-7680.0,-6316.0,503.0,246.45689278249046,0.387,3644.463
2026-06-07 13:08:37.082,11795.0,264.0,6,100.0,False,0,car,0 days 00:00:00.747000,0 days 01:00:44.823000,-7672.0,-6052.0,503.0,510.5780770899973,0.747,3644.823
2026-06-07 13:08:37.322,11731.0,264.0,6,100.0,False,0,car,0 days 00:00:00.987000,0 days 01:00:45.063000,-7664.0,-5935.0,503.0,627.8512624308927,0.987,3645.063
2026-06-07 13:08:37.562,11096.0,252.0,6,0.0,True,0,car,0 days 00:00:01.227000,0 days 01:00:45.303000,-7648.0,-5746.0,503.0,817.5273020352665,1.227,3645.303
2026-06-07 13:08:37.922,9650.0,212.0,6,0.0,True,0,car,0 days 00:00:01.587000,0 days 01:00:45.663000,-7599.0,-5417.0,514.0,1150.1562244097347,1.587,3645.663
2026-06-07 13:08:38.162,9499.0,193.0,6,0.0,True,0,car,0 days 00:00:01.827000,0 days 01:00:45.903000,-7599.0,-5417.0,514.0,1150.1562244097347,1.827,3645.903
2026-06-07 13:08:38.561,10603.0,158.0,6,0.0,True,0,car,0 days 00:00:02.226000,0 days 01:00:46.302000,-7532.0,-5123.0,520.0,1451.6939500760268,2.226,3646.302
2026-06-07 13:08:38.921,11016.0,128.0,5,0.0,True,0,car,0 days 00:00:02.586000,0 days 01:00:46.662000,-7500.0,-5006.0,524.0,1572.9911058547177,2.586,3646.662
2026-06-07 13:08:39.081,10544.0,123.0,4,0.0,True,0,car,0 days 00:00:02.746000,0 days 01:00:46.822000,-7472.0,-4915.0,528.0,1668.2013994158658,2.746,3646.822
2026-06-07 13:08:39.321,9563.0,113.0,2,0.0,True,0,car,0 days 00:00:02.986000,0 days 01:00:47.062000,-7472.0,-4915.0,528.0,1668.2013994158658,2.986,3647.062
2026-06-07 13:08:39.521,9117.0,108.0,2,0.0,True,0,car,0 days 00:00:03.186000,0 days 01:00:47.262000,-7443.0,-4834.0,532.0,1754.2362760648157,3.186,3647.262
2026-06-07 13:08:40.441,9287.0,104.0,2,28.0,False,0,car,0 days 00:00:04.106000,0 days 01:00:48.182000,-7286.0,-4652.0,538.0,1994.5964225117673,4.106,3648.182
2026-06-07 13:08:40.641,9408.0,106.0,2,39.0,False,0,car,0 days 00:00:04.306000,0 days 01:00:48.382000,-7164.0,-4617.0,543.0,2121.5176579296435,4.306,3648.382
